22-29801,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158482.jpg?fitin=700:700,9504.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　電気カンナ,超硬刃でプロ並の仕上がり　　,"★特長★<br>
●超硬刃でプロ並の仕上がり<BR>
●相じゃくり加工に便利な平行ガイド付<BR>
<br>
★用途★<BR>
●相じゃくり加工、面取り加工、平面削りに<br>
<br>
★仕様★<BR>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：650W<br>
■定格時間：30分<br>
■回転速度：16000min-1<br>
■最大切削幅：約82mm<br>
■最大切削深さ：約2mm<br>
■サイズ：幅150mm×奥行280mm×高さ180mm<br>
■重量：3kg<br>
<br>
★付属品★<BR>
・集じん袋（ファスナー付）<br>
・平行ガイド<br>
・替ベルト（モータプーリ用）<br>
・スパナ（8mm）<br>",PAOCK　電気カンナ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　電気カンナ,超硬刃でプロ並の仕上がり　　。PAOCK　電気カンナ[rn]
22-29812,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/bp1400.jpg?fitin=700:700,3920.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERPD1400専用交換充電池パックBP1400(チタン/オレンジ),,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：PD1400</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/b-and-d_2013/bp1810-01.jpg""></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERPD1400専用交換充電池パックBP1400(チタン/オレンジ)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERPD1400専用交換充電池パックBP1400(チタン/オレンジ),BLACK&amp;DECKERPD1400専用交換充電池パックBP1400(チタン/オレンジ)[rn]
22-29813,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/pt01.jpg?fitin=700:700,1478.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERFLEXIシリーズ専用ペットノズルPT01,,対応機種：Z-PD1200、PD1800LI、PD1810LI、PAD1200、PD1400<br>,BLACK&amp;DECKERFLEXIシリーズ専用ペットノズルPT01：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERFLEXIシリーズ専用ペットノズルPT01,BLACK&amp;DECKERFLEXIシリーズ専用ペットノズルPT01[rn]
22-29814,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x39252.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#120　Φ125mmメッシュサンドペーパー3枚セット　X39257,,"対応機種：BDERO100<br>
水洗い可能<br>
サイズ：Φ125mm<br>",BLACK&amp;DECKER#120　Φ125mmメッシュサンドペーパー3枚セット　X39257：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#120　Φ125mmメッシュサンドペーパー3枚セット　X39257,BLACK&amp;DECKER#120　Φ125mmメッシュサンドペーパー3枚セット　X39257[rn]
22-29815,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/74-583ga.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#240　サンドペーパー5枚セット74-586GA,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：KA1000、KA2000、ESH183</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">#240サンドペーパー5枚</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKER#240　サンドペーパー5枚セット74-586GA：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#240　サンドペーパー5枚セット74-586GA,BLACK&amp;DECKER#240　サンドペーパー5枚セット74-586GA[rn]
22-29816,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/kga01.jpg?fitin=700:700,673.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERkg200K用切断カバーkgA01,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：KG200K</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">金属の切断を安全に行えます</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERkg200K用切断カバーkgA01：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERkg200K用切断カバーkgA01,BLACK&amp;DECKERkg200K用切断カバーkgA01[rn]
22-29817,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x39032.jpg?fitin=700:700,454.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#240　メッシュサンドペーパー　3枚セットX39042,,"対応機種：KA320E<br>
サイズ：93mmｘ190mm<br>",BLACK&amp;DECKER#240　メッシュサンドペーパー　3枚セットX39042：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#240　メッシュサンドペーパー　3枚セットX39042,BLACK&amp;DECKER#240　メッシュサンドペーパー　3枚セットX39042[rn]
22-29818,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x33191.jpg?fitin=700:700,611.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERサンディングベルト3枚セット中目　#80,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：KA3000</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">中目：#80ｘ3枚</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERサンディングベルト3枚セット中目　#80：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERサンディングベルト3枚セット中目　#80,BLACK&amp;DECKERサンディングベルト3枚セット中目　#80[rn]
22-29819,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/74-583g.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#240　サンドペーパー5枚セット74-586G,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">対応機種：SX6000、KC2000FK/P1、KA200G、KA150、KA250、ESH183<br>
    KA168(ディテイルサンディングアタッチメント用)</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">#240サンドペーパー5枚</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKER#240　サンドペーパー5枚セット74-586G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#240　サンドペーパー5枚セット74-586G,BLACK&amp;DECKER#240　サンドペーパー5枚セット74-586G[rn]
22-29820,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/kg200k-00.jpg?fitin=700:700,5023.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKERスリムディスクグラインダーkg200K,,"<center>
<table border=""0"">
  <tr>
    <td align=""center"">【アイコン】</td>
  </tr><tr>
    <td><img src=""http://image.rakuten.co.jp/monju/cabinet/b-and-d_2013/mark.jpg""></td>
  </tr>
</table>
</center><center>
<table border=""0"">
  <tr>
    <td align=""center""><font SIZE=""-1""><b>高い耐久性でタフに長く使えるハイパフォーマンスモデル</b></font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><img src=""http://image.rakuten.co.jp/monju/cabinet/b-and-d_2013/kg200k-02.jpg""></td>
  </tr><tr>
    <td align=""center"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">人間工学に基づいたスリムグリップデザインとサイドハンドルポジションを採用、<br>
    長時間の作業でも疲れにくく高負荷作業を強力サポートします<br>
    またアンブレラギア採用で耐久性も大幅アップ<br>
    安心のスライドスイッチで安全な作用を行えます</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/b-and-d_2013/kg200k-01.jpg""></td>
  </tr><tr>
    <td>
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">【製品仕様】</td>
  </tr><tr>
    <td align=""center"">
    <table border=""1"">
      <tr>
        <td colspan=""2"" align=""center""><b><font SIZE=""-1"">電源</font></b></td>
        <td align=""center""><font SIZE=""-1"">AC100V(50/60Hz)</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">消費電力</font></b></td>
        <td align=""center""><font SIZE=""-1"">600W</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">回転数</font></b></td>
        <td align=""center""><font SIZE=""-1"">11000回転/分</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">スイッチタイプ</font></b></td>
        <td align=""center""><font SIZE=""-1"">単速</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">砥石寸法</font></b></td>
        <td align=""center""><font SIZE=""-1"">100ｘ6ｘ15mm</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">アタッチメント取付</font></b></td>
        <td align=""center""><font SIZE=""-1"">スパナレンチ</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">コード長</font></b></td>
        <td align=""center""><font SIZE=""-1"">3m</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">質量</font></b></td>
        <td align=""center""><font SIZE=""-1"">1.4kg</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">サイズ(長さｘ幅ｘ高さ)</font></b></td>
        <td align=""center""><font SIZE=""-1"">270ｘ70ｘ38mm</font></td>
      </tr><tr>
        <td align=""center"" colspan=""2""><b><font SIZE=""-1"">付属品</font></b></td>
        <td align=""left""><font SIZE=""-1"">研磨砥石<br>
        サイドハンドル<br>
        スパナレンチ<br>
        六角レンチ<br>
        キットボックス</font></td>
      </tr>
    </table>
    </td>
  </tr><tr>
    <td align=""center"">
    <hr>
    </td>
  </tr><tr>
    <td align=""center"">【別販売品】</td>
  </tr><tr>
    <td align=""center""><font SIZE=""-1"">KG200K用　切断カバー　KGA01</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKERスリムディスクグラインダーkg200K：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKERスリムディスクグラインダーkg200K,BLACK&amp;DECKERスリムディスクグラインダーkg200K[rn]
22-29821,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0068133250.jpg?fitin=700:700,7996.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,FESTOOL　サンディングパッド　90mm用　軟HT,,"<table border=""1"">
  
    <tr>
      <td rowspan=""3"">本体&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2898/"">90mmタイプ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2855/"">125mmタイプ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2880/"">150mmタイプ</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""4"">粗/仕上げ<br>
      (サンディング)&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2120/"">90mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1883/"">125mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1891/"">125mm仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2065/"">150mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""4"">コーナー/湾曲部<br>
      (中間パッド)&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2464/"">90mm×15mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1905/"">120mm×15mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2618/"">145mm×5mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2111/"">145mm×15mm厚</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""2"">ポリシング&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2057/"">75mm(90mm用)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2073/"">135mm(120mm用)&nbsp;</a></td>
    </tr>

</table>
★特徴★<BR>
・ロテックスＲＯ９０ＦＥＱ用、サンディングパッドです。<br>
・マジック式です。<bR>
・工具無しで交換できます。<br>
・粗・仕上げサンディング用<br>
<BR>
★仕様★<bR>
・適合機種:ロテックスRO90FEQ<BR>
・サイズ(mm):９０<br>
・適用:粗・仕上げサンディング用<bR>
・パッド寸法(mm):90<br>
・タイプ:マジック式<br>
・質量:102g<br>
・基材:プラスティック<br>",FESTOOL　サンディングパッド　90mm用　軟HT：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアFESTOOL　サンディングパッド　90mm用　軟HT,FESTOOL　サンディングパッド　90mm用　軟HT[rn]
22-29822,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/74-583ga.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#80　サンドペーパー5枚セット74-583GA,,"<center>
<table border=""0"">
  <tr>
    <td align=""left"">対応機種：KA1000、KA2000、ESH183</td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">#80サンドペーパー5枚</font></td>
  </tr>
</table>
</center><br>",BLACK&amp;DECKER#80　サンドペーパー5枚セット74-583GA：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#80　サンドペーパー5枚セット74-583GA,BLACK&amp;DECKER#80　サンドペーパー5枚セット74-583GA[rn]
22-29823,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x39032.jpg?fitin=700:700,454.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#120　メッシュサンドペーパー　3枚セットX39037,,"対応機種：KA320E<br>
サイズ：93mmｘ190mm<br>",BLACK&amp;DECKER#120　メッシュサンドペーパー　3枚セットX39037：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#120　メッシュサンドペーパー　3枚セットX39037,BLACK&amp;DECKER#120　メッシュサンドペーパー　3枚セットX39037[rn]
22-29824,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0068145247.jpg?fitin=700:700,118384.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,FESTOOL　ロータリーポリッシャー　RAP150FE(J),,"<table border=""1"">
  
    <tr>
      <td colspan=""2""><a href=""http://item.rakuten.co.jp/monju/760-2847/"">ロータリーポリッシャー本体</a>&nbsp;&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""4"">スポンジパッド(80mm)&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1930/"">シープスキン</a>&nbsp;</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1956/"">低反発フォーム(フラット)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1972/"">低反発フォーム(ハニカム)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1999/"">スポンジ</a></td>
    </tr>
    <tr>
      <td rowspan=""4"">スポンジパッド(150mm)&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1948/"">シープスキン</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1964/"">低反発フォーム(フラット)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1981/"">低反発フォーム(ハニカム)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2006/"">スポンジ</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td colspan=""2""><a href=""http://item.rakuten.co.jp/monju/760-1808/"">ポリッシングパッド&nbsp;</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""3"">コンパウンド</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1913/"">最終仕上げ用</a>&nbsp;</td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2103/"">メンテナンス用</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2600/"">塗装後用</a></td>
    </tr>
  
</table>
★特徴★<BR>
・最高峰シングル回転ポリッシャーです<br>
・抜群のバランスで、きれいな仕上がりと長時間作業が可能です<br>
・工具不要でパッド交換できます<br>
・ポリッシング作業に<br>
<br>
★仕様★<br>
・電源:100V<br>
・電源コード長さ:3.9m<br>
・消費電力(W):1200<br>
・無負荷回転数(min[[の-1乗]]):400～2100<br>
・パッド寸法(mm):125<br>
・定格電流(A):12<BR>
・質量:2.1kg<br>
・生産国：ドイツ<br>",FESTOOL　ロータリーポリッシャー　RAP150FE(J)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアFESTOOL　ロータリーポリッシャー　RAP150FE(J),FESTOOL　ロータリーポリッシャー　RAP150FE(J)[rn]
22-29825,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0068133249.jpg?fitin=700:700,112112.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,FESTOOL　ロテックス　150mm　RO150 FEQ-PLUS(J),,"<table border=""1"">
  
    <tr>
      <td rowspan=""3"">本体&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2898/"">90mmタイプ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2855/"">125mmタイプ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2880/"">150mmタイプ</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""4"">粗/仕上げ<br>
      (サンディング)&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2120/"">90mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1883/"">125mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1891/"">125mm仕上げ</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2065/"">150mm粗・仕上げ</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""4"">コーナー/湾曲部<br>
      (中間パッド)&nbsp;&nbsp;&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2464/"">90mm×15mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-1905/"">120mm×15mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2618/"">145mm×5mm厚</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2111/"">145mm×15mm厚</a></td>
    </tr>
    <tr>
      <td colspan=""2"">&nbsp;</td>
    </tr>
    <tr>
      <td rowspan=""2"">ポリシング&nbsp;</td>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2057/"">75mm(90mm用)</a></td>
    </tr>
    <tr>
      <td><a href=""http://item.rakuten.co.jp/monju/760-2073/"">135mm(120mm用)&nbsp;</a></td>
    </tr>

</table>
★特徴★<BR>
・大面積の粗サンディング、仕上げサンディング、ポリッシング<BR>
・粗研磨、仕上げ研磨、そしてポリッシングまでこれ一台で最適な作業ができます<br>
・ダブルアクションとギアアクションの切り替えもワンタッチです<br>
・1982年ギアアクションを発売してから３２年、信頼のブランドです<br>
・FESTOOL集じん機と接続してジェットストリーム機構が驚異の集じん能力を誇り、研削面の冷却とペーパーの目づまりを抑制します。<BR>
・マジックパッド式です。<br>
・工具不要でパッド交換できます。<BR>
・Plug itケーブル式でコード１本で多くの工具が接続できます。<br>
<br>
★仕様★<BR>
・電源:100V<br>
・振動幅:5mm<br>
・消費電力(W):600<br>
・無負荷回転数(min[[の-1乗]]):ギア/320～600、ダブル3300～6800<BR>
・パッド寸法(mm):150<br>
・定格電流(A):6<br>
・オービットダイヤ(mm):5<br>
・質量:2.3kg<br>
・生産国：ドイツ<br>
<br>
★セット内容★<br>
・D150サンディングパッドソフト(496147)<br>
・プロテクター<br>
・4m Plug itケーブル<br>
・システナー３入り<br>",FESTOOL　ロテックス　150mm　RO150 FEQ-PLUS(J)：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアFESTOOL　ロテックス　150mm　RO150 FEQ-PLUS(J),FESTOOL　ロテックス　150mm　RO150 FEQ-PLUS(J)[rn]
22-29826,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x39252.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#80　Φ125mmメッシュサンドペーパー3枚セット　X39252,,"対応機種：BDERO100<br>
水洗い可能<br>
サイズ：Φ125mm<br>",BLACK&amp;DECKER#80　Φ125mmメッシュサンドペーパー3枚セット　X39252：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#80　Φ125mmメッシュサンドペーパー3枚セット　X39252,BLACK&amp;DECKER#80　Φ125mmメッシュサンドペーパー3枚セット　X39252[rn]
22-29827,http://tshop.r10s.jp/monju/cabinet/b-and-d_2013/x39252.jpg?fitin=700:700,297.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BLACK&DECKER#240　Φ125mmメッシュサンドペーパー3枚セット　X39262,,"対応機種：BDERO100<br>
水洗い可能<br>
サイズ：Φ125mm<br>",BLACK&amp;DECKER#240　Φ125mmメッシュサンドペーパー3枚セット　X39262：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBLACK&amp;DECKER#240　Φ125mmメッシュサンドペーパー3枚セット　X39262,BLACK&amp;DECKER#240　Φ125mmメッシュサンドペーパー3枚セット　X39262[rn]
