20-31601,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413767.jpg?fitin=700:700,2372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1[rn]
20-31612,,4236.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　強力超極細型【1M-TNF (1T-70) (70MMﾁﾀﾝ)】(2617561) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●885℃の高温でも変質しません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　強力超極細型【1M-TNF (1T-70) (70MMﾁﾀﾝ)】(2617561) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　強力超極細型【1M-TNF (1T-70) (70MMﾁﾀﾝ)】(2617561) 受注単位：1,(2617561)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　７０ｍｍ　強力超極細型【1M-TNF (1T-70) (70MMﾁﾀﾝ)】(2617561) 受注単位：1[rn]
20-31613,,1426.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　３型　９５ｍｍ【EW-3】(3289044) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピンセットの技術革新、オール削り出しのアルミニウム製ピンセットです。<br>●わずか6gと超軽量のため、長時間の使用でも手が疲れにくいです。<br>●ハンドル部分のギザ波が滑り止めとして働きます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　３型　９５ｍｍ【EW-3】(3289044) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　３型　９５ｍｍ【EW-3】(3289044) 受注単位：1,(3289044)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ製精密ピンセット　３型　９５ｍｍ【EW-3】(3289044) 受注単位：1[rn]
20-31614,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005147236.jpg?fitin=700:700,520.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　２４０ｍｍ【PTS-07 (240MM)】(3688364) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐食性に優れたステンレス製です。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　２４０ｍｍ【PTS-07 (240MM)】(3688364) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　２４０ｍｍ【PTS-07 (240MM)】(3688364) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　２４０ｍｍ【PTS-07 (240MM)】(3688364) 受注単位：1[rn]
20-31615,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003873478.jpg?fitin=700:700,289.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　パッド　５ｍｍ【A1312】(3597172) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●部品サイズに合わせることが可能です。（パッドサイズ4種類:φ3、φ5、φ7、φ10）",『カード対応OK！』■〒白光/白光　パッド　５ｍｍ【A1312】(3597172) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　パッド　５ｍｍ【A1312】(3597172) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒白光/白光　パッド　５ｍｍ【A1312】(3597172) 受注単位：1[rn]
20-31616,,3567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　斜め先細型【5ARG-SA】(3288994) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐酸耐磁（SUS304L）のピンセットをベースに本体に無数の穴を空けることで滑り止め効果があります。<br>●SUS420Jに比べサビにくく、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　斜め先細型【5ARG-SA】(3288994) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　斜め先細型【5ARG-SA】(3288994) 受注単位：1,(3288994)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　スイストゥィーズ型　１１５ｍｍ　斜め先細型【5ARG-SA】(3288994) 受注単位：1[rn]
20-31617,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833299.jpg?fitin=700:700,1710.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンハヤト/サンハヤト　ＤＩＰ型２４～２８ピンＩＣ用ＩＣ引抜治具【GX-6】(3859657) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ICとICソケットを傷つけずスピーディーに引き抜けます。<br>●指一本の操作で軽く引き抜けます。<br>●垂直・水平いずれの方向でも楽に操作できます。",『カード対応OK！』■〒サンハヤト/サンハヤト　ＤＩＰ型２４～２８ピンＩＣ用ＩＣ引抜治具【GX-6】(3859657) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒サンハヤト/サンハヤト　ＤＩＰ型２４～２８ピンＩＣ用ＩＣ引抜治具【GX-6】(3859657) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒サンハヤト/サンハヤト　ＤＩＰ型２４～２８ピンＩＣ用ＩＣ引抜治具【GX-6】(3859657) 受注単位：1[rn]
20-31618,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817721.jpg?fitin=700:700,1072.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細丸形タイプ）【PTZ-42】(3027201) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●弾力性・耐摩耗性に優れ、対象物を傷つけにくいPPSチップです。",『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細丸形タイプ）【PTZ-42】(3027201) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細丸形タイプ）【PTZ-42】(3027201) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細丸形タイプ）【PTZ-42】(3027201) 受注単位：1[rn]
20-31619,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003873475.jpg?fitin=700:700,289.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　パッド　７ｍｍ【A1167】(3597148) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●部品サイズに合わせることが可能です。（パッドサイズ4種類:φ3、φ5、φ7、φ10）",『カード対応OK！』■〒白光/白光　パッド　７ｍｍ【A1167】(3597148) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　パッド　７ｍｍ【A1167】(3597148) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒白光/白光　パッド　７ｍｍ【A1167】(3597148) 受注単位：1[rn]
20-31620,,4156.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　強力耐久型【00-TNF (OO-T) (115MMﾁﾀﾝ)】(2617196) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●885℃の高温でも変質しません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　強力耐久型【00-TNF (OO-T) (115MMﾁﾀﾝ)】(2617196) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　強力耐久型【00-TNF (OO-T) (115MMﾁﾀﾝ)】(2617196) 受注単位：1,(2617196)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１１５ｍｍ　強力耐久型【00-TNF (OO-T) (115MMﾁﾀﾝ)】(2617196) 受注単位：1[rn]
20-31621,,4442.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１２０ｍｍ　超極細型【3-TNF (3T-120) (120MMﾁﾀﾝ)】(2617251) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●885℃の高温でも変質しません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１２０ｍｍ　超極細型【3-TNF (3T-120) (120MMﾁﾀﾝ)】(2617251) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１２０ｍｍ　超極細型【3-TNF (3T-120) (120MMﾁﾀﾝ)】(2617251) 受注単位：1,(2617251)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チタン製ピンセット　１２０ｍｍ　超極細型【3-TNF (3T-120) (120MMﾁﾀﾝ)】(2617251) 受注単位：1[rn]
20-31622,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614925.jpg?fitin=700:700,1021.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細曲りタイプ）【PTZ-43】(3429113) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●弾力性・耐摩耗性に優れ、対象物を傷つけにくいPPSチップです。",『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細曲りタイプ）【PTZ-43】(3429113) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細曲りタイプ）【PTZ-43】(3429113) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（先細曲りタイプ）【PTZ-43】(3429113) 受注単位：1[rn]
20-31623,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003805035.jpg?fitin=700:700,1776.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　曲【TSP-209L】(3664422) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●手の入らない狭いところにも届く長さ500mmのロングタイプです。<br>●異物除去に最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　曲【TSP-209L】(3664422) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　曲【TSP-209L】(3664422) 受注単位：1,(3664422)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　大型ステンレス製ピンセット　５００ｍｍ　曲【TSP-209L】(3664422) 受注単位：1[rn]
20-31624,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150130.jpg?fitin=700:700,395.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-22】(3688569) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●電子機器、精密機器に多く使用されているコイルスプリングなどの取り付け、取り外しや、調整用に最適です。<br>●基板実装のリードコネクターの取り外し、抵抗やコンデンサーのリード線の矯正、細い電線などの配列点検作業用にも使用されています。",『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-22】(3688569) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-22】(3688569) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　スプリングフック【SS-22】(3688569) 受注単位：1[rn]
