20-53601,http://tshop.r10s.jp/todakana/cabinet/00993547/imgrc0064334760.jpg?fitin=700:700,14960.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個,,取り寄せ品：通常2～5営業日で入荷後発送　返品・交換不可,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個：Ｔｏｄａ-Ｋａｎａｍｏｎｏ,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個,ヨコヅナ JBS-1105　ステンレス重量戸車 V型 110mm / 1個[rn]
20-53612,http://tshop.r10s.jp/garden-life/cabinet/03082713/renketu-main.gif?fitin=700:700,205.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コンフォートパネル専用連結ボルト（仕様：１か所分１本入り・シルバー・M5x90　ステンレス）ボックス付きフェンスへご使用いただけません。,,"商品詳細につきまして弊店ＰＣ版がおすすめです。
<BR>
画面右上　ＰＣ版　を都度クリックしてください。
<BR>",コンフォートパネル専用連結ボルト（仕様：１か所分１本入り・シルバー・M5x90　ステンレス）ボックス付きフェンスへご使用いただけません。：ガーデンライフ彩,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ウッディープラシステムフェンス簡単デッキガーデンライフラチスＬＥＤＬＥＤライトバルコニー樹脂コンフォートパネル専用連結ボルト（仕様：１か所分１本入り・シルバー・M5x90　ステンレス）ボックス付きフェンスへご使用いただけません。,フェンス２枚なら２本、フェンス３枚なら４本ご購入ください。。コンフォートパネル専用連結ボルト（仕様：１か所分１本入り・シルバー・M5x90　ステンレス）ボックス付きフェンスへご使用いただけません。[rn]
20-53613,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005157484.jpg?fitin=700:700,1244.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,水本　ステンレス　ロングアイスクリュー　内径２４ｍｍ,,●直接木製の壁面などにねじ込めます。<BR>●木製の壁面・床・柱など。<BR>●使用荷重(kN):1.47●E(mm):10●B(mm):75●H(mm):41●D(mm):8●L(mm):24●A(mm):19●質量(g):85<BR>●ねじ込み式<BR>●ステンレス（SUS304）●仕上げ：バレル研磨仕上げ<BR>,水本　ステンレス　ロングアイスクリュー　内径２４ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン水本　ステンレス　ロングアイスクリュー　内径２４ｍｍ,水本　ステンレス　ロングアイスクリュー　内径２４ｍｍ[rn]
20-53614,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010004382515.jpg?fitin=700:700,800.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ニッサチェイン　ディスプレイパーツフック　ＢＹＰ－２０Ｈ－１,,●ワイヤを突起部の方から差し込むだけで止まり、突起部を押し込むとワイヤを抜くことができます。●ワイヤーを差し込むだけでその箇所で留まる自在金具です。<BR>●ワイヤーとの併用で機械部品、開き止め防止用。<BR>●C(mm):3.5●B(mm):10.5●A(mm):51.0●適合ロープ径(mm):1.2～2.0●質量(g):10.5<BR>●金具:真鍮（C3602）●フック:スチール（SPCC）<BR>,ニッサチェイン　ディスプレイパーツフック　ＢＹＰ&minus;２０Ｈ&minus;１：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンニッサチェイン　ディスプレイパーツフック　ＢＹＰ&minus;２０Ｈ&minus;１,ニッサチェイン　ディスプレイパーツフック　ＢＹＰ&minus;２０Ｈ&minus;１[rn]
20-53615,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010002838369.jpg?fitin=700:700,320.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ヤマト　アルミブラケット（Ｍ６用）ＹＡＢ－３０５４－６,,<BR>●幅(mm):54●奥行(mm):30●高さ(mm):30●適用ボルト:M6●質量(g):36<BR>●ボルトサイズ:M6<BR>●アルミ●表面処理:アルマイト処理<BR>,ヤマト　アルミブラケット（Ｍ６用）ＹＡＢ&minus;３０５４&minus;６：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンヤマト　アルミブラケット（Ｍ６用）ＹＡＢ&minus;３０５４&minus;６,ヤマト　アルミブラケット（Ｍ６用）ＹＡＢ&minus;３０５４&minus;６[rn]
20-53616,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005772151.jpg?fitin=700:700,320.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,東発　強力ばね（重荷重）,,●豊富なラインナップで金型部品としてのスプリングの標準化を実現しました。●金型業界はもとより、機械部品として幅広くユーザーにご愛用頂いております。<BR>●プレス金型●クラッチ・ブレーキ部品●精密機械部品●工作機械部品●免震部品<BR>●自由長(mm):60●たわみ(mm):14.4●外径(mm):25●内径(mm):12.5●質量(g):102.96<BR>●防錆処理：電着塗装●使用温度：-30～150度<BR>●ばね用シリコンクロム鋼<BR>●自由長×２４．０％を超えるたわみでは使用しないでください。,東発　強力ばね（重荷重）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン東発　強力ばね（重荷重）,東発　強力ばね（重荷重）[rn]
20-53617,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010002969562.jpg?fitin=700:700,1520.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,スガツネ工業　ソフトダウンステー二段階（上開き扉用）左（１８０－１００－０７３）,,●扉の角度を2段階で保持することができます。●取り付け位置により、全開時の角度が80°、90°、100°になります。●ダンパー機構付でゆるやかに扉を閉められます。<BR>●家具・筐体など。<BR>●呼称:左用●全長(mm):200.2●厚み(mm):22●穴数:5●質量(g):181<BR>●上開き扉用<BR>●亜鉛合金+鋼●表面処理:ニッケルメッキ仕上げ<BR>,スガツネ工業　ソフトダウンステー二段階（上開き扉用）左（１８０&minus;１００&minus;０７３）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンスガツネ工業　ソフトダウンステー二段階（上開き扉用）左（１８０&minus;１００&minus;０７３）,スガツネ工業　ソフトダウンステー二段階（上開き扉用）左（１８０&minus;１００&minus;０７３）[rn]
20-53618,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005793241.jpg?fitin=700:700,3360.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,スガツネ工業　オールステンレス鋼製スライドレール（１９０－１１０－１８７）,,●オールステンレス鋼製で耐食性に優れています。●インナーレールを完全に引き出せる3段引のスライドレールです。<BR>●引き出しに。<BR>●幅×高さ×長さ×移動距離(mm):19.1×27×350×364.4●定格荷重(N)ペア/垂直:333●段数:3段引●質量(kg):1.16<BR>●アウターレール・インナーレール・中間レール・リテーナー:ステンレス鋼（SUS304）●ボール:ステンレス鋼（SUS440）<BR>,スガツネ工業　オールステンレス鋼製スライドレール（１９０&minus;１１０&minus;１８７）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンスガツネ工業　オールステンレス鋼製スライドレール（１９０&minus;１１０&minus;１８７）,スガツネ工業　オールステンレス鋼製スライドレール（１９０&minus;１１０&minus;１８７）[rn]
20-53619,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010005772153.jpg?fitin=700:700,222.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,東発　強力ばね（軽荷重）,,●豊富なラインナップで金型部品としてのスプリングの標準化を実現しました。●金型業界はもとより、機械部品として幅広くユーザーにご愛用頂いております。<BR>●プレス金型●クラッチ・ブレーキ部品●精密機械部品●工作機械部品●免震部品<BR>●自由長(mm):40●たわみ(mm):16●外径(mm):25●内径(mm):12.5●質量(g):47.68<BR>●防錆処理：電着塗装●使用温度：-30～150度<BR>●ばね用シリコンクロム鋼<BR>●自由長×４０．０％を超えるたわみでは使用しないでください。,東発　強力ばね（軽荷重）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン東発　強力ばね（軽荷重）,東発　強力ばね（軽荷重）[rn]
20-53620,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010006058530.jpg?fitin=700:700,2856.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,アキュライド　タッチ＆リリーススライドレール３５０ｍｍ,,●タッチ＆リリース機構が付いたスライドレールです。その為、ハンドルやつまみが不要で、フラットなデザインのキャビネットに出来ます。●プッシュオープンのロック及び解除は、閉状態の位置から押し込むこと（２mm）により行われます。●ディスコネクトスプリングは、引き出し時ストッパーが掛かり、押し込み時はフリー、ドロワーメンバー取り外しは手動にて解除出来ます。<BR>●コンピュータ●スチール家具等キャビネット●家電製品<BR>●幅×高さ×長さ×移動距離(mm):12.7×37.4×350×355●定格荷重(N)ペア/垂直:255●質量(kg):0.49<BR>●軽荷重用●３メンバーフルトラベルタイプ●ドロワーメンバーの着脱可能●タッチ＆リリース<BR>●スチール（SPCC)●表面処理：三価クロムメッキ仕上げ<BR>●水平使用時、定格荷重は表示の１/４になります。,アキュライド　タッチ＆リリーススライドレール３５０ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンアキュライド　タッチ＆リリーススライドレール３５０ｍｍ,アキュライド　タッチ＆リリーススライドレール３５０ｍｍ[rn]
20-53621,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010002961137.jpg?fitin=700:700,5584.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,アキュライド　ダブルスライドレール４０６ｍｍ,,●全開時にロックがかかります。閉める際はディスコネクトスプリングを押し込みながら解除します。●ボールベアリングを採用した精密スライドレールです。<BR>●コンピュータ、コピー機、計測器、家電製品、スチール家具など。<BR>●幅×高さ×長さ×移動距離(mm):12.7×51.5×406.4×432●定格荷重(N)ペア/垂直:775●質量(kg):1.94<BR>●中荷重用●3メンバーフルトラベルタイプ●ドロワーメンバーの脱着可能●ダブルロックタイプ<BR>●スチール（SPCC）●表面処理:三価クロムメッキ仕上げ<BR>●水平使用時、定格荷重は表示の1/4になります。,アキュライド　ダブルスライドレール４０６ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンアキュライド　ダブルスライドレール４０６ｍｍ,アキュライド　ダブルスライドレール４０６ｍｍ[rn]
20-53622,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010002980764.jpg?fitin=700:700,10856.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,アキュライド　ダブルスライドレール６０９．６ｍｍ,,●ボールベアリングを採用した精密スライドレールで軽荷重用から重荷重用まで幅広く対応しています。<BR>●コンピュータ、コピー機、計測器、家電製品、スチール家具など。●重荷重用<BR>●幅×高さ×長さ×移動距離(mm):23.8×71.4×609.6×632●定格荷重(N)ペア/垂直:2118●質量(kg):8.04<BR>●重荷重用●3メンバーフルトラベルタイプ●ドロワーメンバーの脱着不可能●ストップタイプ<BR>●スチール（SPCC）●表面処理:三価クロムメッキ仕上げ<BR>●水平使用時、定格荷重は表示の1/4になります。,アキュライド　ダブルスライドレール６０９．６ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンアキュライド　ダブルスライドレール６０９．６ｍｍ,アキュライド　ダブルスライドレール６０９．６ｍｍ[rn]
20-53623,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010006270284.jpg?fitin=700:700,125.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ハント　ユニクロ　寸切ボルト　１２Ｘ２８５,,●全ねじで長さ調節が楽です。●耐食性向上の為、ユニクロメッキがしてあります。●頭のない総ねじです。●長ねじとも言います。<BR>●軽工作品に。●建設・設備関連に。●締め付けねじ、取り付けねじなど、長さを調節して使用。●天井吊など多用途。<BR>●ねじ径:12mm●長さ(mm):285●質量(g):177<BR>●スチール<BR>,ハント　ユニクロ　寸切ボルト　１２Ｘ２８５：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンハント　ユニクロ　寸切ボルト　１２Ｘ２８５,ハント　ユニクロ　寸切ボルト　１２Ｘ２８５[rn]
20-53624,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010006147034.jpg?fitin=700:700,452.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,アルミス　φ４８．６　アルミコーナーＹ継金具,,●外径48.6mmのアルミパイプをつなぐ、ジョイント金具です。●作業台・作業小屋・フェンス等の骨組みに軽くて錆びにくいアルミ溶接金具でネジはステンレス仕様です。●単管パイプにも使用可能です。<BR>●作業台・作業小屋・フェンス等の骨組みに。●単管パイプに。<BR>●タイプ:コーナーＹ継●外寸 縦×横×高さ(ｍｍ):110×113×110●質量(g):485<BR>●アルミ<BR>,アルミス　φ４８．６　アルミコーナーＹ継金具：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンアルミス　φ４８．６　アルミコーナーＹ継金具,アルミス　φ４８．６　アルミコーナーＹ継金具[rn]
20-53625,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010003839548.jpg?fitin=700:700,63.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮｅｗＨｉｋａｒｉ　ローラーキャッチ　中　ユニクロ,,●ローラーには樹脂を使用しています。<BR>●色:シルバー●全長(mm):31.5●押込力(N/kgf):12.8/1.3●引張力(N/kgf):36.6/3.7●高さ(mm):13.5●質量(g):15<BR>●ねじ付●ﾋﾞｽﾋﾟｯﾁ(mm):20.0<BR>●スチール●表面処理:ユニクロメッキ仕上げ<BR>,ＮｅｗＨｉｋａｒｉ　ローラーキャッチ　中　ユニクロ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮｅｗＨｉｋａｒｉ　ローラーキャッチ　中　ユニクロ,ＮｅｗＨｉｋａｒｉ　ローラーキャッチ　中　ユニクロ[rn]
20-53626,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010004382204.jpg?fitin=700:700,359.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,水本　ステンレス　Ｏ型フック　線径４ｍｍ長さ３０ｍｍ,,●シンプルな形状のフックです。<BR>●チェーン・ワイヤ・ロープなどの連結金具として、また端末の金具のジョイントに。<BR>●使用荷重(kN):0.15●S(mm):7●L(mm):30●D(mm):4●W(mm):10●R(mm):3.5●質量(g):8<BR>●ステンレス（SUS304）●)●仕上げ：バレル研磨仕上げ<BR>,水本　ステンレス　Ｏ型フック　線径４ｍｍ長さ３０ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン水本　ステンレス　Ｏ型フック　線径４ｍｍ長さ３０ｍｍ,水本　ステンレス　Ｏ型フック　線径４ｍｍ長さ３０ｍｍ[rn]
20-53627,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010004382210.jpg?fitin=700:700,258.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,水本　ステンレス　丸リンク　線径５ｍｍ内径５０ｍｍ,,●接続部は溶接しているため丈夫です。'●サイズが豊富です。<BR>●ロープなどの先端金具として。<BR>●使用荷重(kN):0.250●D(mm):5●L(mm):50●質量(g):26<BR>●ステンレス（SUS304）●仕上げ：バレル研磨仕上げ<BR>,水本　ステンレス　丸リンク　線径５ｍｍ内径５０ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン水本　ステンレス　丸リンク　線径５ｍｍ内径５０ｍｍ,水本　ステンレス　丸リンク　線径５ｍｍ内径５０ｍｍ[rn]
20-53628,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010004663294.jpg?fitin=700:700,343.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,光　アルミ不等辺アングル９９５ｍｍ,,●軽量・耐腐食・加工性に優れ、リサイクルしやすい素材です。<BR>●サッシや建設資材・補強部材・パネルや看板、柱、テーブルなどの飾り縁や木棚などの受けとして。<BR>●全長(mm):995●厚み(mm):1.5●縦(mm):10●横(mm):30●質量(g):155<BR>●アルミ●表面処理:アルマイト仕上げ<BR>,光　アルミ不等辺アングル９９５ｍｍ：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン光　アルミ不等辺アングル９９５ｍｍ,光　アルミ不等辺アングル９９５ｍｍ[rn]
20-53629,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010006270284.jpg?fitin=700:700,103.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ハント　ユニクロ　寸切ボルト　８Ｘ２８５,,●全ねじで長さ調節が楽です。●耐食性向上の為、ユニクロメッキがしてあります。●頭のない総ねじです。●長ねじとも言います。<BR>●軽工作品に。●建設・設備関連に。●締め付けねじ、取り付けねじなど、長さを調節して使用。●天井吊など多用途。<BR>●ねじ径:8mm●長さ(mm):285●質量(g):79<BR>●スチール<BR>,ハント　ユニクロ　寸切ボルト　８Ｘ２８５：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンハント　ユニクロ　寸切ボルト　８Ｘ２８５,ハント　ユニクロ　寸切ボルト　８Ｘ２８５[rn]
20-53630,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002867690.jpg?fitin=700:700,12410.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ｇ　ベアリングユニット,,●フレーム内でベアリングユニットが自由に移動できるようになっているため、別途にテークアップ機構を設ける必要がありません。<BR>●主としてベルトやチェーンの調整など軸芯の移動を必要とする箇所に。<BR>●軸径(mm):20●全長(mm):317●全高(mm):199●取付ピッチ(mm):-●取付ねじ:M10●質量(kg):6.3<BR>●止めねじ式●使用温度範囲:-15～100℃<BR>●軸受:高炭素クロム軸受鋼●軸受箱:鋼鉄<BR>,ＮＴＮ　Ｇ　ベアリングユニット：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ｇ　ベアリングユニット,ＮＴＮ　Ｇ　ベアリングユニット[rn]
20-53631,http://tshop.r10s.jp/parts/cabinet/detail-trusco7/t010002980685.jpg?fitin=700:700,1332.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,水本　ステンレス　ロックフック,,●2回の動作でなければ開かないフックです。<BR>●連結金具として。<BR>●使用荷重(kN):1.18●W(mm):52●L(mm):91●D(mm):9.5●Ｄ2(mm):5.0●S(mm):18●T1(mm):8.0●T2(mm):8●質量(g):98●d (mm):16<BR>●ステンレス（SUS304）<BR>,水本　ステンレス　ロックフック：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウン水本　ステンレス　ロックフック,水本　ステンレス　ロックフック[rn]
20-53632,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010002840120.jpg?fitin=700:700,815.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ＮＴＮ　Ａ　小径小形ボールベアリング,,●合成ゴムが接触しながら両側よりシールドしているため、防じん性に大変優れ、防水効果も大変高いベアリングです。<BR>●自動車・産業機全般。<BR>●内輪径(mm):30●外輪径(mm):47●幅(mm):9●質量(g):48.0<BR>●シール形状:合成ゴム両側接触形（LLU）●精度等級:JIS B 1514 0級●使用温度範囲:-25～110℃<BR>●高炭素クロム軸受鋼<BR>,ＮＴＮ　Ａ　小径小形ボールベアリング：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンＮＴＮ　Ａ　小径小形ボールベアリング,ＮＴＮ　Ａ　小径小形ボールベアリング[rn]
20-53633,http://tshop.r10s.jp/parts/cabinet/detail-trusco6/t010006286395.jpg?fitin=700:700,829.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カタヤマ　フィットリンク　４０－８４Ｌ（ＪＬ付）,,●フィットリンクローラチェーンは残材が残らないＥＣＯ商品です。●ジョイントリンク付なので到着したその場でご使用が可能です。<BR>●チェーン駆動の一般機械用ローラチエーン<BR>●ユニットリンク数:84●質量(g):640.5<BR>●リベット形●列数：１列●チェーンNo.40●ピッチ:12.7mm●ローラー外径:7.92mm●内リンク内幅:7.95mm●引張強さ:18.1kN●４０番のローラチエーン●８４リンク(ＪＬ込み)<BR>●スチール<BR>●偶数リンクでお届けします,カタヤマ　フィットリンク　４０&minus;８４Ｌ（ＪＬ付）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンカタヤマ　フィットリンク　４０&minus;８４Ｌ（ＪＬ付）,カタヤマ　フィットリンク　４０&minus;８４Ｌ（ＪＬ付）[rn]
20-53634,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003971723.jpg?fitin=700:700,2760.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ユニクローム六角ボルトＭ８×６０（２００本入り）,,●一般的な六角ボルトで幅広く使用されています。<BR>●寸法(mm)d×L:M8×60●質量(kg):5.08<BR>●強度区分:4.8<BR>●低炭素鋼（SWCH）●表面処理:ユニクロムメッキ仕上げ<BR>,コノエ　ユニクローム六角ボルトＭ８&times;６０（２００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ユニクローム六角ボルトＭ８&times;６０（２００本入り）,コノエ　ユニクローム六角ボルトＭ８&times;６０（２００本入り）[rn]
20-53635,http://tshop.r10s.jp/parts/cabinet/detail-trusco8/t010003874372.jpg?fitin=700:700,2792.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コノエ　ステンレス六角ボルトＭ１０×１５（１００本入り）,,●耐食性のあるステンレス（SUS304）の材質を使用しています。<BR>●寸法(mm)d×L:M10×15●質量(kg):2.1<BR>●強度区分:A2-50相当●JIS 1180規格品<BR>●ステンレス（SUS304）<BR>,コノエ　ステンレス六角ボルトＭ１０&times;１５（１００本入り）：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンコノエ　ステンレス六角ボルトＭ１０&times;１５（１００本入り）,コノエ　ステンレス六角ボルトＭ１０&times;１５（１００本入り）[rn]
