20-192101,http://tshop.r10s.jp/suncardo/cabinet/iris-1/4905009036264.jpg?fitin=700:700,3127.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,,"商品の説明
大型電動工具などの高さのある物が収納できます。取っ手付きインナートレーが2段付いています。別売のショルダーベルトが取り付けられます。
製品型番:600
商品重量:2.8 Kg
梱包サイズ:53.6 x 27.8 x 28 cm
サイズ:外寸:536×280×278mm
色:グレー
材質:ポリプロピレン、ABS樹脂
商品の寸法:奥行き × 幅 × 高さ53.6 x 27.8 x 28 cm
色:グレー
外寸(mm)間口×奥行×高さ:536×280×278
有効内寸(mm)間口×奥行×高さ:450×200×215
本体・中皿:ポリプロピレン（PP）
取手・バックル:ABS樹脂<br><br>※こちらの商品は、ご注文日より3日から5日営業日以内に発送予定商品となります。",ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16：suncardo,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具ハンドツールタイヤ関連商品パーツ収納・ツールボックス関連電装関連エアーツール特殊工具トラック関連・緩衝材オイルエレメントエアーエレメントワイパー補修ケミカル電動工具バランスウェイトパンク修理剤内張りクリップ洗車用品バッテリー用品ライト関連・LEDハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16[rn]
20-192125,http://tshop.r10s.jp/yoro-store/cabinet/main04/153739_l.jpg?fitin=700:700,1392.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,2段収納 ツールボックス ブラック,,"満足な容量を誇る2段タイプのツールボックス。<br>
目的のツールが取り出しやすい両開きタイプです。<br>
<br>
コストパフォーマンスの高いこの工具箱は、<br>
プロユースからDIY目的まで幅広く使えます。<br>
<br>
●カラー:ブラック<br>
●外寸:幅370×奥行160×高さ125mm<br>
●重量:1.7kg<br>
●材質:スチール<br>
<br>
※写真の工具は付属しません。",2段収納 ツールボックス ブラック：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTO2段収納 ツールボックス ブラック,長い取っ手が持ち運びやすい2段タイプのツールボックス。。2段収納 ツールボックス ブラック[rn]
20-192126,http://tshop.r10s.jp/yoro-store/cabinet/main04/153737_l.jpg?fitin=700:700,2888.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,3段両開き ツールボックス ブラック,,"開けば大容量の収納力を誇る3段タイプのツールボックス。<br>
目的のツールが取り出しやすい両開きタイプです。<br>
<br>
プロユースからDIY目的まで幅広く使えます。<br>
<br>
●カラー:ブラック<br>
●外寸:幅500×奥行200×高さ230mm<br>
●重量:5.1kg<br>
●材質:スチール<br>
<br>
※写真の工具は付属しません。",3段両開き ツールボックス ブラック：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTO3段両開き ツールボックス ブラック,収容が大きく丈夫な三段両開き開閉式!。3段両開き ツールボックス ブラック[rn]
20-192127,http://tshop.r10s.jp/yoro-store/cabinet/main04/153740_l.jpg?fitin=700:700,1216.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,トレイ付き ツールボックス レッド,,"便利なトレイが付いたコンパクトなツールボックス。<br>
トレイを使えば2段に収納を分けることができ、<br>
コンパクトながらも満足できる収納力があります。<br>
<br>
●カラー:レッド<br>
●外寸:幅485×奥行155×高さ165mm<br>
●トレイ外寸:幅460×奥行127×高さ40mm<br>
●重量:2.0kg<br>
●材質:スチール",トレイ付き ツールボックス レッド：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTOトレイ付き ツールボックス レッド,トレイ付属で便利なコンパクトツールボックス。。トレイ付き ツールボックス レッド[rn]
20-192128,http://tshop.r10s.jp/yoro-store/cabinet/main05/937067_l.jpg?fitin=700:700,7744.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイガーツールワゴン ＫＴ-168 各種 赤,,"キャスターは180kgまで持つ強力タイプ。<br>
ステップを軽く踏むだけでON/OFF可能なステップストッパー付き。<br>
<br>
●寸法：幅605×高さ890×奥行320mm<br>
●支柱規格：330mm×8本(アルミ)<br>
●耐荷重(約)：1段につき40ｋｇ<br>
●プレートサイズ(約)：305mm×450mm<br>
●プレート数：3段<br>
●材質：アルミ、プラ(PP)<br>
●他：φ75mm(3インチ)自在キャスター×4<br>
(2個はステップストッパー付)<br>
<br>
※商品の色合いは実物とは多少異なる場合がありますので、あらかじめご了承ください。<br>
※商品のデザイン、仕様、外観は予告なく変更する場合がありますのでご了承ください。<br>
<br><br>
937069-0001,937066-0001,937067-0001,937068-0001,ツールカート,ツールワゴン,収納,アイガーツール",アイガーツールワゴン ＫＴ-168 各種 赤：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTOアイガーツールワゴン ＫＴ-168 各種 赤,いろんなシーンで活躍する超軽量ワゴン！。アイガーツールワゴン ＫＴ-168 各種 赤[rn]
20-192129,http://tshop.r10s.jp/yoro-store/cabinet/main05/937066_l.jpg?fitin=700:700,7744.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイガーツールワゴン ＫＴ-168 各種 黒,,"キャスターは180kgまで持つ強力タイプ。<br>
ステップを軽く踏むだけでON/OFF可能なステップストッパー付き。<br>
<br>
●寸法：幅605×高さ890×奥行320mm<br>
●支柱規格：330mm×8本(アルミ)<br>
●耐荷重(約)：1段につき40ｋｇ<br>
●プレートサイズ(約)：305mm×450mm<br>
●プレート数：3段<br>
●材質：アルミ、プラ(PP)<br>
●他：φ75mm(3インチ)自在キャスター×4<br>
(2個はステップストッパー付)<br>
<br>
※商品の色合いは実物とは多少異なる場合がありますので、あらかじめご了承ください。<br>
※商品のデザイン、仕様、外観は予告なく変更する場合がありますのでご了承ください。<br>
<br><br>
937069-0001,937066-0001,937067-0001,937068-0001,ツールカート,ツールワゴン,収納,アイガーツール",アイガーツールワゴン ＫＴ-168 各種 黒：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTOアイガーツールワゴン ＫＴ-168 各種 黒,いろんなシーンで活躍する超軽量ワゴン！。アイガーツールワゴン ＫＴ-168 各種 黒[rn]
20-192130,http://tshop.r10s.jp/yoro-store/cabinet/main04/795232_l.jpg?fitin=700:700,21160.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,【直送 代引き不可】パーツ洗浄台 68L TR232PK,,●移動式でも タップリ容量 68リットル シンク。<br>●電動ポンプで洗浄液を循環、フレキシブルノズルから供給します。<br>●シンク内には中間棚付きで、よごれと洗浄液は下へ。効率の良い部品洗浄ができます。<br>●中段は、洗浄後の部品を置くための洗浄液受けが付いています。<br>●キャスター付きで、移動が簡単です。(2ヶ所ブレーキ付き)<br>●ふたが付いていますので、作業のない時はクリーンに収納。<br>●万一の火災でも、感熱ジョイント採用のステーを採用していますので、ふたが閉まり消火します。<br><br>●シンク容量:68リットル<br>●ドレン受け容量:12リットル<br>●本体サイズ:幅 900x奥行き530x高さ900～1360mm<br>●作業スペース:幅 715x奥行き480x深さ200mm<br>●ポンプ能力:毎分20リットル<br>●重量:34kg<br>●電源:AC100V 50/60Hz<br>●電源コード長さ:1.5m<br>●梱包サイズ:87 X 57 X 50 cm<br><br>パーツ/洗浄台/部品洗浄用洗浄液槽,【直送 代引き不可】パーツ洗浄台 68L TR232PK：ヨロスト　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得車用品カー用品工具日曜大工ヨロストDIYオイルフィルターパーツクリーナーストレッチフィルム自動車整備工具洗車用品ブレーキよろすとYOROSUTO【直送 代引き不可】パーツ洗浄台 68L TR232PK,移動式でもタップリ容量68リットルシンク!。【直送 代引き不可】パーツ洗浄台 68L TR232PK[rn]
20-192131,http://tshop.r10s.jp/auc-aone/cabinet/05570052/imgrc0068567668.jpg?fitin=700:700,800.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,【中古】　アルミケース　工具入れ　鍵付　　　　　　赤　レッド　アルミ工具ケース　収納ケース　　　　　　工具箱　DIY　ツールボックス,,"<center>
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr>
<td><table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""8"" bgcolor=""#cccccc"">



<tr><td bgcolor=""#F3F3F3"">
<b>ご注文後のキャンセルについて</b></td></tr><tr><td bgcolor=""#FFFFFF"">
<font color=""red""><B>ほとんどの商品が一点のみという性質上、当店ではご注文後のキャンセルは承っておりません。<BR>
止むを得ない場合にはキャンセル料として商品代金の3割をご請求致しますのでご了承ください。</B></font>
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>当店規約について</b></td></tr><tr><td bgcolor=""#FFFFFF"">
<font color=""green""><B>※ご注文前に必ずお買い物ガイドをご覧ください。<BR>
ご注文いただきました場合には当店の規約に同意されたものと致します。</B></font>
</td></tr>


</table></td></tr>
</table><br>
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr><td><center>
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""8"" bgcolor=""#cccccc"">



<tr><td bgcolor=""#F3F3F3"">
<b>名称</b></td></tr><tr><td bgcolor=""#FFFFFF"">
アルミケース　工具入れ　鍵付（鍵1個）
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>カラー</b></td></tr><tr><td bgcolor=""#FFFFFF"">
レッド
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>主な仕様</b></td></tr><tr><td bgcolor=""#FFFFFF"">
●外形寸法　　約幅33×奥行16×高さ24.5cm<BR>
●ケース内寸　約幅31×奥行14×高さ22cm<BR>
●質　　　量　　約1.5kg
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>付属品</b></td></tr><tr><td bgcolor=""#FFFFFF"">
画像に写っているもので全てとなります。
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>その他</b></td></tr><tr><td bgcolor=""#FFFFFF"">
こちらの商品は状態の良い美品ではありますがUsed品のため多少の傷、汚れ等あります。<BR>
目立つ部分につきましては記載するよう努めますが<BR>
全てを記載することは難しいため、使用に伴う傷・汚れ<BR>
および中古の範囲内と判断した部分は記載しておりません。<BR>
中古でありますことを何卒ご理解の上、お願い致します。
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<b>発送サイズ</b></td></tr><tr><td bgcolor=""#FFFFFF""><B>
80サイズ</B><BR>
送料は送料料金表からご確認下さい。
</td></tr>


<tr><td bgcolor=""#F3F3F3"">
<B>発送時期について</B></td></tr><tr><td bgcolor=""#FFFFFF"">
●クレジット決済<BR>
　　　カード承認後3営業日以内に発送<BR>
●楽天銀行振込・楽天バンク決済・楽天Edy決済<BR>
　　　ご入金確認後5営業日以内に発送<BR>
※お急ぎの方はクレジット決済でお願いします。
</td></tr>




</table>
</center></td>
</tr>
</table>
<br>
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""8"" bgcolor=""#cccccc"">
<tr>
<td bgcolor=""#FFFFFF""><font size=""5"" color=""orange""><BR><B>リサイクルは【出逢い】です。<BR>
心惹かれる出逢いがありますように…</B></font><BR><BR><BR>

当店はリサイクルショップとなります。<BR>
中古でも品質・状態の良いものはたくさんあり<BR>新品とは比べものにならないほど<BR>
格安でお求めいただけます。<BR><BR>

ただ状態は1点1点異なりますので多少の傷や汚れは気にならないという方にお願いします。<BR>
画像や商品説明をご覧になり、ご判断いただけましたら幸いです。<BR><BR>

商品の簡単な動作チェックは行っておりますが、全ての機能をチェックしている訳ではございません。<BR>
そのため新品同様に機能しない部分・多少調子の悪い部分がある場合もございますが<BR>
当方で中古の範囲内と判断しました場合にはご返品はお受け出来ないこともございますので<BR>
ご了承ください。<BR><BR>

また未使用品と表示されているものでも、新品同様のものから<BR>
保管期間の汚れ・傷・箱の潰れ等あるものまで色々ございます。<BR>
格安でのご提供となっておりますので、ご理解の上ご購入お願い致します。<BR><BR>

当店の品物が皆様の生活に役立てることを願っております。<BR><BR>

<font color=""red"">リビング館　楽天市場店は土日祝日を定休日とさせていただいております。</font><BR><BR>

店舗 　●リビング館　本郷通店　札幌市白石区本郷通9丁目南3-7<BR>
　　　　　　<B>（店舗にて楽天市場の販売商品を全てご覧いただける訳ではございません）</B><BR><BR>

<font color=""green""><B>リビング館</B></font>で検索していただければホームページもご覧いただけます！<BR><BR>


<font color=""red""><B>お客様のメール設定等により当店からのメールが届かない場合がございます。<BR>
休業日を除き、ご注文後24時間経過しても当店からのメールが届かない場合は<BR>
ご一報くださいますようお願い致します。</B></font><BR><BR>


</td></tr>
</table>
</center>",【中古】　アルミケース　工具入れ　鍵付　　　　　　赤　レッド　アルミ工具ケース　収納ケース　　　　　　工具箱　DIY　ツールボックス：リビング館　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得【中古】　アルミケース　工具入れ　鍵付　　　　　　赤　レッド　アルミ工具ケース　収納ケース　　　　　　工具箱　DIY　ツールボックス,アルミケース 工具入れ 鍵付 レッド アルミ工具ケース 工具箱。【中古】　アルミケース　工具入れ　鍵付　　　　　　赤　レッド　アルミ工具ケース　収納ケース　　　　　　工具箱　DIY　ツールボックス[rn]
20-192132,http://tshop.r10s.jp/auc-forum/cabinet/03019362/imgrc0066749194.jpg?fitin=700:700,11200.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,SIGNET（シグネット）ベアリングレール3段引出しツールボックス（ブルー）★工具箱,,,SIGNET（シグネット）ベアリングレール3段引出しツールボックス（ブルー）★工具箱：工具通販のフォーラム　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得KTCＫＴＣSIGNETＳＩＧＮＥＴシグネット工具セットツールセット工具箱ツールケースインパクトレンチポリッシャーコンパクトツールRUPESハンマースプレーガンアネストウレタンバフ板金塗装SKX0213SKセールSIGNET（シグネット）ベアリングレール3段引出しツールボックス（ブルー）★工具箱,SIGNETのチェストタイプの工具箱。SIGNET（シグネット）ベアリングレール3段引出しツールボックス（ブルー）★工具箱[rn]
20-192133,http://tshop.r10s.jp/auc-straight/cabinet/02/02-7611.jpg?fitin=700:700,20096.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,KTC チェスト(3段3引出し) ソリッドレッド SKX0213 STRAIGHT/02-7611 (KTC/ケーティーシー),,[保証] 初期不良保証<br><br>■引出しはスムーズな開閉が可能なベアリングレール採用。<br><br>[色] ソリッドレッド<br>[外寸(WHD)] 520×300×215(mm)<br>[トップ部サイズ(WHD)] 500×60×200(mm)（耐荷重8.5kg）<br>[引き出しサイズ(WHD)] 455×45×190(mm)（耐荷重5kg）<br>[引き出し数] 3、上部収納スペース<br>[重量]11kg<br>[付属品]<br>・トップマット×1<br>・引出しマット×3<br>・仕切板×3,KTC チェスト(3段3引出し) ソリッドレッド SKX0213 STRAIGHT/02-7611 (KTC/ケーティーシー)：整備工具のストレート,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得KTC チェスト(3段3引出し) ソリッドレッド SKX0213 STRAIGHT/02-7611 (KTC/ケーティーシー),収納豊富なコンパクトサイズ。KTC チェスト(3段3引出し) ソリッドレッド SKX0213 STRAIGHT/02-7611 (KTC/ケーティーシー)[rn]
20-192134,http://tshop.r10s.jp/patri/cabinet/zakka/zk115.jpg?fitin=700:700,944.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,ウエストポーチ ウイングバッグ 頑丈 ミリタリー 迷彩 避難袋 釣り 登山 diy 作業 収納 大工 工具箱 日曜大工 建築 土木 ギフト zk115,,"●ベルトがついているので腰に装着できます<br>
●アジャスターで長さが調整できます<br>
●多くの収納があります<br>
●ボトルホルダーには水筒だけでなく長い工具も収納できます<br>
●大工仕事だけでなくアウトドアでも使えます<br>
●登山のサブバックや釣りの時の小物入れなどにもおすすめ！<br><br>
【商品名】：作業用ポーチ<br>
【サイズ】<br>
・メインバック：縦 約19cm × 横 約15cm × マチ 約7cm<br>
・ボトルホルダー：縦 約19cm × 直径 約7cm <br>
【カラー】：黒色/茶色/白迷彩/緑迷彩<br><br>
○使用上の注意事項○<br>
※改造/本来の目的以外/強い衝撃などはお控え下さい。<br>
※仕様は改善の為に予告なく変更する場合があります。<br>
※ディスプレイ画面等の環境上、写真と実際の商品の色とは多少違う場合がございます。<br>
※海外輸入商品により、軽い汚れ/ダメージ等がついている場合がございます。<br><br>
○以上、ご同意の上ご購入ください！○　<br>
<img src=""http://image.rakuten.co.jp/patri/cabinet/zakka/zk115.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/patri/cabinet/zakka/zk115-5.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/patri/cabinet/zakka/zk115-6.jpg"" width=""100%"">",ウエストポーチ ウイングバッグ 頑丈 ミリタリー 迷彩 避難袋 釣り 登山 diy 作業 収納 大工 工具箱 日曜大工 建築 土木 ギフト zk115：通販の暁,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ウエストポーチ ウイングバッグ 頑丈 ミリタリー 迷彩 避難袋 釣り 登山 diy 作業 収納 大工 工具箱 日曜大工 建築 土木 ギフト zk115,作業用ポーチ。ウエストポーチ ウイングバッグ 頑丈 ミリタリー 迷彩 避難袋 釣り 登山 diy 作業 収納 大工 工具箱 日曜大工 建築 土木 ギフト zk115[rn]
20-192135,http://tshop.r10s.jp/homeown/cabinet/image2/alm-toolbox-b.jpg?fitin=700:700,10080.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アルミ製ツールボックス 大 キャビネット 防水仕様 鍵付き 工具箱 ガレージ収納,,"<img src=""http://image.rakuten.co.jp/homeown/cabinet/image2/alm-toolbox-b.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/homeown/cabinet/image2/alm-toolbox-b_1.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/homeown/cabinet/image2/alm-toolbox-b_2.jpg"" width=""100%""><br>


<CENTER><TABLE CELLSPACING=2 CELLPADDING=10 WIDTH=100% BGCOLOR=#666666 BORDER=0>

<TR>
<TD BGCOLOR=#0066FF ALIGN=center><FONT COLOR=#ffffff SIZE=+1><B>商品説明</B></FONT></TD></TR>
<TR>
<TD BGCOLOR=#FFFFFF ALIGN=left>
屋外で使用可能！<BR>
<FONT COLOR=#ff6600 SIZE=+1><B>アルミ製ツールボックス 大</B></FONT><br><br>
防水構造でトラックの荷台にぴったり！<br>
開閉はダンパー付きでラクラク！<br>
<br>  
<FONT COLOR=#0000ff>【商品名】</FONT><br>
アルミツールボックス　大<br>
<br>
<FONT COLOR=#0000ff>【商品番号】</FONT><br>
alm-toolbox-b<br>
<br>
<FONT COLOR=#0000ff>【商品仕様】</FONT><br>
商品サイズ：1230×385×385mm<br>
重量：約12.5kg<br>
PL保険加入済み商品<br>
<br>
<FONT COLOR=#0000ff>【注意事項】</FONT><br>
※取扱説明書は付属しておりません。<br>
※輸入品につき本体に僅かなキズ・サビ汚れなどがつく場合があります。<br>
※入荷時期により予告無くデザイン・色・サイズなど、細かな仕様が変更される場合がございます。<br>
※色合いの感じ方には個人差があり、撮影状況・ＰＣ環境により色合いが異なる場合がございます。<br>
※細かい点が気になる方、神経質な方はご注文お控えください。<br>
<br>
    
   <p>ご注文前に必ずご確認下さい ⇒ <font color=""#ff0000""><b>お買い物ガイド</b></font><br><BR>
  </p>
    
  </TD>
</TR>
<TR>
<TD BGCOLOR=#0066FF ALIGN=center><B><FONT COLOR=#ffffff SIZE=+1>送 料</FONT></B></TD></TR>
<TR>
<TD BGCOLOR=#ffffff><B><FONT COLOR=#ff0000 SIZE=+1>基本送料 3,200円</FONT></B><BR><BR> 
 <FONT SIZE=+0> 別途追加送料　北海道：＋1,000円、沖縄県：＋4,000円、離島：＋5,000円</FONT><BR> 
 ※同梱不可<BR>
  
  </TD></TR></TABLE></CENTER>",アルミ製ツールボックス 大 キャビネット 防水仕様 鍵付き 工具箱 ガレージ収納：ホームオン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マニホールドゲージガスチャージアウトドア テーブルナイロンスリングアルミ テーブル真空ポンプカードーリークリーパー スリングベルトダイヤモンドカッタージャッキ撮影スタンドチップそーバイクスタンドバキュームゲージエアーホースラッシングベルトホームオンアルミ製ツールボックス 大 キャビネット 防水仕様 鍵付き 工具箱 ガレージ収納,カー用品　収納　ツールボックス。アルミ製ツールボックス 大 キャビネット 防水仕様 鍵付き 工具箱 ガレージ収納[rn]
20-192136,http://tshop.r10s.jp/homeown/cabinet/image3/cabinet-b-re.jpg?fitin=700:700,20400.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,【チャーター便発送】キャビネット7段 赤 ツールボックス キャスター付き 工具箱 ガレージ収納 レッド,,"<img src=""http://image.rakuten.co.jp/homeown/cabinet/image3/cabinet-b-re.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/homeown/cabinet/image3/cabinet-b-bl_1.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/homeown/cabinet/image3/cabinet-b-re_2.jpg"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/homeown/cabinet/bnr/charter.jpg"" width=""100%""><br>
<br>
<CENTER><TABLE CELLSPACING=2 CELLPADDING=10 WIDTH=100% BGCOLOR=#666666 BORDER=0>

<TR>
<TD BGCOLOR=#0066FF ALIGN=center><FONT COLOR=#ffffff SIZE=+1><B>商品説明</B></FONT></TD></TR>
<TR>
<TD BGCOLOR=#FFFFFF ALIGN=left>
ガレージにあこがれの頑丈なキャビネット！<br>
<FONT COLOR=#ff6600 SIZE=+1><B>キャビネット7段</B></FONT><br><br>
重量物もOKなように、引き出しはベアリング仕様！<br>
すべての引き出しとトップ部分はマット敷<br>
ストッパー付きの大型キャスター使用で移動も楽々<br>
<br>
<FONT COLOR=#0000ff>【商品名】</FONT><br>  
キャビネット7段 赤<br>
<br>
<FONT COLOR=#0000ff>【商品番号】</FONT><br>
cabinet-b-re<br>
<br>
<FONT COLOR=#0000ff>【商品仕様】</FONT><br>
本体サイズ(約)： 680×458×1000mm<br>
キャスター込み(約)：680×458×995mm<br>
1-5段引き出し(約)：570×410×74.5mm<br>
6-7段ひ引き出し(約)：570×410×153.5mm<br>
キャスター(約)：5”X1.25”ストッパーつき<br>
梱包サイズ(約)：720ｘ505ｘ935mm<br>
質量(約)：70kg<br>
PL保険加入済み商品<br>
<br>
<FONT COLOR=#0000ff>【注意事項】</FONT><br>
※取扱説明書は付属しておりません。<br>
※輸入品につき本体に僅かなキズ・サビ汚れなどがつく場合があります。<br>
※入荷時期により予告無くデザイン・色・サイズなど、細かな仕様が変更される場合がございます。<br>
※安全のため、保護メガネなど保護具を着用して下さい。<br>
※色合いの感じ方には個人差があり、撮影状況・ＰＣ環境により色合いが異なる場合がございます。<br>
※細かい点が気になる方、神経質な方はご注文お控えください。<br>
<br>    
   <p>ご注文前に必ずご確認下さい ⇒ <font color=""#ff0000""><b>お買い物ガイド</b></font><br><BR>
  </p>    
  </TD>
</TR>
<TR>
<TD BGCOLOR=#0066FF ALIGN=center><B><FONT COLOR=#ffffff SIZE=+1>送 料</FONT></B></TD></TR>
<TR>
<TD BGCOLOR=#ffffff><B><FONT COLOR=#ff0000 SIZE=+1>基本送料 3,200円</FONT></B><BR><BR> 
 <FONT SIZE=+0> 別途追加送料　北海道：＋1,000円、沖縄県：＋4,000円、離島：＋5,000円</FONT><BR> 
 ※同梱不可<BR>  
  </TD></TR>
<TR>
<TD BGCOLOR=#0066FF ALIGN=center><B><FONT COLOR=#ffffff SIZE=+1>チャーター便発送について</FONT></B></TD></TR>
<TR>
<TD BGCOLOR=#ffffff><B><FONT COLOR=#ff0000 SIZE=+1>こちらの商品はチャーター便の発送となります。</FONT></B><BR><BR> 
<FONT COLOR=#0000ff>【お支払い方法について】</FONT><BR><FONT COLOR=#ff0000>「代金引換」</FONT>でのお支払いは承れません。<BR><BR>
<FONT COLOR=#0000ff>【配送について】</FONT><BR>
1.お届け先は、お近くのトールエクスプレス営業店もしくはトールエクスプレス協力店への<FONT COLOR=#ff0000>「配送営業所引取限定」</FONT>となります。<BR>
2.商品ご購入前にお住まいの地域をお伝えいただけましたら、お近くの営業店をお調べ致します。<BR>
3.代金引換決済は不可となります。<BR>
4.お届け日指定・時間指定は不可となります。<BR>
5.商品お届けまでご注文より２週間程度お時間頂く場合がございます。<BR>
6.万が一、初期不良等の不具合があった場合、不良/破損個所のパーツを提供する<FONT COLOR=#ff0000>「パーツ対応」</FONT>とさせていただきます。<BR> 
<BR>
</TD></TR></TABLE></CENTER>",【チャーター便発送】キャビネット7段 赤 ツールボックス キャスター付き 工具箱 ガレージ収納 レッド：ホームオン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得マニホールドゲージガスチャージアウトドア テーブルナイロンスリングアルミ テーブル真空ポンプカードーリークリーパー スリングベルトダイヤモンドカッタージャッキ撮影スタンドチップそーバイクスタンドバキュームゲージエアーホースラッシングベルトホームオン【チャーター便発送】キャビネット7段 赤 ツールボックス キャスター付き 工具箱 ガレージ収納 レッド,ツールボックス。【チャーター便発送】キャビネット7段 赤 ツールボックス キャスター付き 工具箱 ガレージ収納 レッド[rn]
