20-109201,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292316651.jpg?fitin=700:700,1760.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ20mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行93×幅20×高さ20mm　重量100g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 20MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
20-109223,,430.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【KKD-19】(4350243)超強力両面テープ 金属・一般材料用 １９ｍｍＸ１．５ｍ ＫＫＤ－１９ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐候性、耐熱性に優れたアクリルフォームテープです。<br>●アルミ、ステンレスなどの金属の接着にお勧めです。<br>●色:グレー<br>●幅(mm):19<br>●長さ(m):1.5<br>●厚み(mm):0.6<br>●質量(g):28<br>●粘着力:22N/10mm<br>●使用温度範囲：-20～150℃<br>●屋外・屋内OK<br>●手で切断可能<br>●基材：アクリルフォーム<br>●粘着剤：アクリル系<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【KKD-19】(4350243)超強力両面テープ 金属・一般材料用 １９ｍｍＸ１．５ｍ ＫＫＤ&minus;１９ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【KKD-19】(4350243)超強力両面テープ 金属・一般材料用 １９ｍｍＸ１．５ｍ ＫＫＤ&minus;１９ 受注単位1,環境安全用品\テープ用品\強力両面テープ。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【KKD-19】(4350243)超強力両面テープ 金属・一般材料用 １９ｍｍＸ１．５ｍ ＫＫＤ&minus;１９ 受注単位1[rn]
20-109224,,800.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒テサテープ（株）/テサテープ【4251-19X20-B】(4461924)電気絶縁用ビニールテープ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱、耐寒性に優れ経時変化しにくいです。<br>●糊のしみだしがなく、長期在庫が可能です。<br>●電気配線工事に。<br>●複雑な形状物の梱包に。<br>●ドラム缶などのカンシールに。<br>●各種結束、固定、識別に。<br>●色:青<br>●幅(mm):19<br>●長さ(m):20<br>●厚み(mm):0.2<br>●質量(g):90<br>●粘着力：1.6N/10mm<br>●引張強度：27.4N/10mm<br>●伸び：125%<br>●鉛フリー<br>●JIS規格適合品<br>●手で切断可能<br>●基材：ポリ塩化ビニール樹脂<br>●粘着剤：ゴム系<br>",『カード対応OK！』■〒テサテープ（株）/テサテープ【4251-19X20-B】(4461924)電気絶縁用ビニールテープ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒テサテープ（株）/テサテープ【4251-19X20-B】(4461924)電気絶縁用ビニールテープ 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒テサテープ（株）/テサテープ【4251-19X20-B】(4461924)電気絶縁用ビニールテープ 受注単位1[rn]
20-109225,,392.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PV-CLR】(4360567)スコッチ 超強力両面テープ 透明 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●接着力の強い両面テープです。<br>●透明で目立たないため、ガラスやアクリルへの使用に適しています。<br>●ねじや釘を使わずに、多様なものを粘着･固定できます。<br>●目立たせたくない箇所に。<br>●色:透明<br>●幅(mm):12<br>●長さ(m):1<br>●厚み(mm):1<br>●質量(g):19<br>●粘着力:40N/10mm<br>●荷重の目安（テープ2cm相当）：ステンレス約900g、ガラス約800g、アクリル約700g<br>●屋内外用<br>●基材：アクリルフォーム<br>●粘着剤：アクリル系<br>●接着力が強いため、はがす際に接着面を傷めることがあります。<br>●破損しやすい物や、落下した際に危険な場所へは使用しないでください。<br>●テープ本来の接着力を発揮するまでに約１日かかります。その間はテープに強い力を与えないで下さい。<br>●水分に触れるような場所や、浴室など湿度が高いところでは使用しないでください。<br>●冬など、気温10℃以下では接着しにくくなります。ドライヤーなどでテープと貼るもの、貼る場所をあたためてからご使用下さい。<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PV-CLR】(4360567)スコッチ 超強力両面テープ 透明 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PV-CLR】(4360567)スコッチ 超強力両面テープ 透明 受注単位1,環境安全用品\テープ用品\強力両面テープ。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PV-CLR】(4360567)スコッチ 超強力両面テープ 透明 受注単位1[rn]
20-109226,,60.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒積水化学工業（株）/積水【V360L01】(4711661)エスロンテープＮｏ．３６０ １９ｘ１０ 空 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気絶縁性・耐候性に優れた、作業性の良いビニールテープです。<br>●ＪＩＳ規格適合品（ＪＩＳ　Ｃ　2336）です。<br>●一般配線工事、配線色別用。<br>●色:空<br>●幅(mm):19<br>●長さ(m):10<br>●厚み(mm):0.2<br>●質量(g):45<br>●粘着力:1.5N/10mm<br>●引張強度:29.4N/10mm<br>●使用温度範囲:-10～60℃<br>●手で切断可能<br>●基材：ポリ塩化ビニール樹脂<br>●粘着剤：ゴム系<br>",『カード対応OK！』■〒積水化学工業（株）/積水【V360L01】(4711661)エスロンテープＮｏ．３６０ １９ｘ１０ 空 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒積水化学工業（株）/積水【V360L01】(4711661)エスロンテープＮｏ．３６０ １９ｘ１０ 空 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒積水化学工業（株）/積水【V360L01】(4711661)エスロンテープＮｏ．３６０ １９ｘ１０ 空 受注単位1[rn]
20-109227,,1191.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【T420 25X5】(4796233)構造用接合テープ（サイン＆ディスプレイ用） Ｔ４２０ ２５ｍｍＸ５ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●驚異的な初期接着特性となじみ性があり、木材やモルタルなどの凹凸面・ザラザラ面への接着に最適です。<br>●変形追従性・振動吸収性・シール性・屋外耐候性・低温接着性にすぐれています。<br>●凹凸などのある下地への看板材料の接着に。<br>●色:グレー<br>●幅(mm):25<br>●長さ(m):5<br>●厚み(mm):2.0<br>●質量(g):400<br>●切断にはカッターが必要<br>●基材:アクリルフォーム<br>●粘着剤:アクリル系<br>●この商品は、一般消費者様向けの製品ではない為、表示や取扱説明書等が一般消費者様向けに表記・同梱されておりません。<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【T420 25X5】(4796233)構造用接合テープ（サイン＆ディスプレイ用） Ｔ４２０ ２５ｍｍＸ５ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【T420 25X5】(4796233)構造用接合テープ（サイン＆ディスプレイ用） Ｔ４２０ ２５ｍｍＸ５ｍ 受注単位1,環境安全用品\テープ用品\強力両面テープ。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【T420 25X5】(4796233)構造用接合テープ（サイン＆ディスプレイ用） Ｔ４２０ ２５ｍｍＸ５ｍ 受注単位1[rn]
20-109228,,1296.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒日東電工（株）/日東【21-100GN】(4694589)ビニールテープＮｏ．２１ ０．２ｍｍ×１００ｍｍ×２０ｍ 緑 ２巻入り 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●有害物質である重金属の鉛（Pb）を使用しない環境対策品です。（鉛フリー）<br>●電気絶縁性に非常に優れています。<br>●端末ハガレが少なく、配線工事も確実にできます。<br>●耐寒性に優れ、-10℃においても粘着力は低下しません。<br>●配線工事。<br>●機械工具の絶縁用。<br>●色:グリーン<br>●幅(mm):100<br>●長さ(m):20<br>●厚み(mm):0.2<br>●質量(g):1<br>●粘着力:1.85N/10mm<br>●引張強度:15N/10mm<br>●使用温度範囲(熱特性):-10～90℃<br>●厚み:0.2mm<br>●手で切断可能<br>●基材:軟質塩化ビニールフィルム<br>●粘着剤:ゴム系<br>",『カード対応OK！』■〒日東電工（株）/日東【21-100GN】(4694589)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 緑 ２巻入り 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日東電工（株）/日東【21-100GN】(4694589)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 緑 ２巻入り 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒日東電工（株）/日東【21-100GN】(4694589)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 緑 ２巻入り 受注単位1[rn]
20-109229,,782.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PVG-12】(4350278)超強力両面テープ 金属・一般材料用 １２ｍｍＸ１０ｍ ＰＶＧ－１２ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐候性、耐熱性に優れたアクリルフォームテープです。<br>●アルミ、ステンレスなどの金属の接着にお勧めです。<br>●色:グレー<br>●幅(mm):12<br>●長さ(m):10<br>●厚み(mm):0.6<br>●質量(g):97<br>●粘着力:22N/10mm<br>●使用温度範囲：-20～150℃<br>●屋外・屋内OK<br>●手で切断可能<br>●基材：アクリルフォーム<br>●粘着剤：アクリル系<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PVG-12】(4350278)超強力両面テープ 金属・一般材料用 １２ｍｍＸ１０ｍ ＰＶＧ&minus;１２ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PVG-12】(4350278)超強力両面テープ 金属・一般材料用 １２ｍｍＸ１０ｍ ＰＶＧ&minus;１２ 受注単位1,環境安全用品\テープ用品\強力両面テープ。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【PVG-12】(4350278)超強力両面テープ 金属・一般材料用 １２ｍｍＸ１０ｍ ＰＶＧ&minus;１２ 受注単位1[rn]
20-109230,,463.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【LSW-10G】(3985351)シーリングラップ グレー １・２・３（１ｍ） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●自己融着タイプのシリコーンラバーラップです。<br>●圧力がかかっている状態での応急補修が可能です。<br>●ホースや電気コードの修理。<br>●パイプや配管継手の漏れ。<br>●工具の持ち手に巻いてすべり止めに。<br>●色:グレー<br>●幅(mm):25<br>●長さ(m):1<br>●厚み(mm):0.5<br>●質量(g):24<br>●引張強度:4.8MPa<br>●使用温度範囲:-54～260℃<br>●絶縁破壊強度:15.7kV/mm<br>●基材:シリコーンゴム<br>",『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【LSW-10G】(3985351)シーリングラップ グレー １・２・３（１ｍ） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【LSW-10G】(3985351)シーリングラップ グレー １・２・３（１ｍ） 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【LSW-10G】(3985351)シーリングラップ グレー １・２・３（１ｍ） 受注単位1[rn]
20-109231,,60.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒積水化学工業（株）/積水【V360P01】(4711688)エスロンテープＮｏ．３６０ １９ｘ１０ ピンク 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気絶縁性・耐候性に優れた、作業性の良いビニールテープです。<br>●ＪＩＳ規格適合品（ＪＩＳ　Ｃ　2336）です。<br>●一般配線工事、配線色別用。<br>●色:ピンク<br>●幅(mm):19<br>●長さ(m):10<br>●厚み(mm):0.2<br>●質量(g):45<br>●粘着力:1.5N/10mm<br>●引張強度:29.4N/10mm<br>●使用温度範囲:-10～60℃<br>●手で切断可能<br>●基材：ポリ塩化ビニール樹脂<br>●粘着剤：ゴム系<br>",『カード対応OK！』■〒積水化学工業（株）/積水【V360P01】(4711688)エスロンテープＮｏ．３６０ １９ｘ１０ ピンク 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒積水化学工業（株）/積水【V360P01】(4711688)エスロンテープＮｏ．３６０ １９ｘ１０ ピンク 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒積水化学工業（株）/積水【V360P01】(4711688)エスロンテープＮｏ．３６０ １９ｘ１０ ピンク 受注単位1[rn]
20-109232,,122.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒積水化学工業（株）/積水【V360Y02】(4438621)エスロンテープＮｏ．３６０ １９ｍｍＸ２０ｍ 黄 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気絶縁性・耐候性に優れた、作業性の良いビニールテープです。<br>●ＪＩＳ規格適合品（ＪＩＳ　Ｃ　2336）です。<br>●一般配線工事、配線色別用。<br>●色:黄<br>●幅(mm):19<br>●長さ(m):20<br>●厚み(mm):0.2<br>●質量(g):95<br>●粘着力:1.5N/10mm<br>●引張強度:29.4N/10mm<br>●使用温度範囲:-10～60℃<br>●手で切断可能<br>●基材:ポリ塩化ビニール<br>●粘着剤:ゴム系<br>",『カード対応OK！』■〒積水化学工業（株）/積水【V360Y02】(4438621)エスロンテープＮｏ．３６０ １９ｍｍＸ２０ｍ 黄 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒積水化学工業（株）/積水【V360Y02】(4438621)エスロンテープＮｏ．３６０ １９ｍｍＸ２０ｍ 黄 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒積水化学工業（株）/積水【V360Y02】(4438621)エスロンテープＮｏ．３６０ １９ｍｍＸ２０ｍ 黄 受注単位1[rn]
20-109233,,1032.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒日東電工ＣＳシステム(株)/日東電工ＣＳ【21-20GN】(4703626)ビニールテープＮｏ．２１ １９ｍｍ×２０ｍ 緑 １０巻入り 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●有害物質である重金属の鉛（Pb）を使用しない環境対策品です。（鉛フリー）<br>●電気絶縁性に非常に優れています。<br>●端末ハガレが少なく、配線工事も確実にできます。<br>●耐寒性に優れ、-10℃においても粘着力は低下しません。<br>●配線工事。<br>●機械工具の絶縁用。<br>●色:グリーン<br>●幅(mm):19<br>●長さ(m):20<br>●厚み(mm):0.2<br>●質量(g):950<br>●粘着力:1.85N/10mm<br>●引張強度:15N/10mm<br>●使用温度範囲(熱特性):-10～90℃<br>●厚み:0.2mm<br>●手で切断可能<br>●基材:軟質塩化ビニールフィルム<br>●粘着剤:ゴム系<br>",『カード対応OK！』■〒日東電工ＣＳシステム(株)/日東電工ＣＳ【21-20GN】(4703626)ビニールテープＮｏ．２１ １９ｍｍ&times;２０ｍ 緑 １０巻入り 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日東電工ＣＳシステム(株)/日東電工ＣＳ【21-20GN】(4703626)ビニールテープＮｏ．２１ １９ｍｍ&times;２０ｍ 緑 １０巻入り 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒日東電工ＣＳシステム(株)/日東電工ＣＳ【21-20GN】(4703626)ビニールテープＮｏ．２１ １９ｍｍ&times;２０ｍ 緑 １０巻入り 受注単位1[rn]
20-109234,,1296.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒日東電工（株）/日東【21-100B】(4694562)ビニールテープＮｏ．２１ ０．２ｍｍ×１００ｍｍ×２０ｍ 青 ２巻入り 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●有害物質である重金属の鉛（Pb）を使用しない環境対策品です。（鉛フリー）<br>●電気絶縁性に非常に優れています。<br>●端末ハガレが少なく、配線工事も確実にできます。<br>●耐寒性に優れ、-10℃においても粘着力は低下しません。<br>●配線工事。<br>●機械工具の絶縁用。<br>●色:ブルー<br>●幅(mm):100<br>●長さ(m):20<br>●厚み(mm):0.2<br>●質量(g):1<br>●粘着力:1.85N/10mm<br>●引張強度:15N/10mm<br>●使用温度範囲(熱特性):-10～90℃<br>●厚み:0.2mm<br>●手で切断可能<br>●基材:軟質塩化ビニールフィルム<br>●粘着剤:ゴム系<br>",『カード対応OK！』■〒日東電工（株）/日東【21-100B】(4694562)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 青 ２巻入り 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日東電工（株）/日東【21-100B】(4694562)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 青 ２巻入り 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒日東電工（株）/日東【21-100B】(4694562)ビニールテープＮｏ．２１ ０．２ｍｍ&times;１００ｍｍ&times;２０ｍ 青 ２巻入り 受注単位1[rn]
20-109235,,60.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒積水化学工業（株）/積水【V360T01】(4711718)エスロンテープＮｏ．３６０ １９ｘ１０ 透明 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気絶縁性・耐候性に優れた、作業性の良いビニールテープです。<br>●ＪＩＳ規格適合品（ＪＩＳ　Ｃ　2336）です。<br>●一般配線工事、配線色別用。<br>●色:透明<br>●幅(mm):19<br>●長さ(m):10<br>●厚み(mm):0.2<br>●質量(g):45<br>●粘着力:1.5N/10mm<br>●引張強度:29.4N/10mm<br>●使用温度範囲:-10～60℃<br>●手で切断可能<br>●基材：ポリ塩化ビニール樹脂<br>●粘着剤：ゴム系<br>",『カード対応OK！』■〒積水化学工業（株）/積水【V360T01】(4711718)エスロンテープＮｏ．３６０ １９ｘ１０ 透明 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒積水化学工業（株）/積水【V360T01】(4711718)エスロンテープＮｏ．３６０ １９ｘ１０ 透明 受注単位1,環境安全用品\テープ用品\絶縁テープ。『カード対応OK！』■〒積水化学工業（株）/積水【V360T01】(4711718)エスロンテープＮｏ．３６０ １９ｘ１０ 透明 受注単位1[rn]
20-109236,,208.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒積水化学工業（株）/積水【N730N03】(4711432)マスクライトテープＮｏ．７３０ ３８ｘ２５ 半透明 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●のり残りや汚染性が少なくきれいなタイプです。<br>●養生用。<br>●色:半透明<br>●幅(mm):38<br>●長さ(m):25<br>●厚み(mm):0.15<br>●質量(g):120<br>●粘着力:2.5N/10mm<br>●引張強度:64.7N/10mm<br>●手で切断可能<br>●基材：ポリエチレンクロス<br>●粘着剤：アクリル系<br>",『カード対応OK！』■〒積水化学工業（株）/積水【N730N03】(4711432)マスクライトテープＮｏ．７３０ ３８ｘ２５ 半透明 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒積水化学工業（株）/積水【N730N03】(4711432)マスクライトテープＮｏ．７３０ ３８ｘ２５ 半透明 受注単位1,環境安全用品\テープ用品\養生テープ。『カード対応OK！』■〒積水化学工業（株）/積水【N730N03】(4711432)マスクライトテープＮｏ．７３０ ３８ｘ２５ 半透明 受注単位1[rn]
20-109237,,2924.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒日東電工（株）/日東【5302A-20】(4742427)シリコーンゴム接着用両面接着テープＮＯ．５３０２Ａ ２０ｍｍＸ２０ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1面:シリコーンゴムによく接着し、電気絶縁性に優れるシリコーン系粘着剤を使用してます。<br>●2面:金属・プラスチック板などの被着体に優れた接着力を発揮するアクリル系粘着剤を使用してます。<br>●シリコーンゴムの接着用。<br>●シリコーンゴムの接着用。<br>●色:クリア<br>●幅(mm):20<br>●長さ(m):20<br>●厚み(mm):0.085<br>●質量(g):140<br>●粘着力:4.2N/10mm<br>●粘着力:5N/10mm(１面)5.7N/10mm(2面)<br>●基材:ポリエステル<br>●粘着剤：(１面）シリコーン系、(２面）アクリル系<br>",『カード対応OK！』■〒日東電工（株）/日東【5302A-20】(4742427)シリコーンゴム接着用両面接着テープＮＯ．５３０２Ａ ２０ｍｍＸ２０ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日東電工（株）/日東【5302A-20】(4742427)シリコーンゴム接着用両面接着テープＮＯ．５３０２Ａ ２０ｍｍＸ２０ｍ 受注単位1,環境安全用品\テープ用品\工業用両面テープ。『カード対応OK！』■〒日東電工（株）/日東【5302A-20】(4742427)シリコーンゴム接着用両面接着テープＮＯ．５３０２Ａ ２０ｍｍＸ２０ｍ 受注単位1[rn]
20-109238,,136.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【DCX1018 10X20 R】(4730062)高接着低ＶＯＣ不織布両面粘着テープ ＤＣＸ－１０１８ １０ｍｍＸ２０ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●各種基材への接着性が優れています。<br>●各種発泡体、オレフィン材などにも優れた接着力を有します。<br>●厚生労働省室内濃度指針値（平成14年2月）の対象14物質の発散が極めて少ないです。<br>●ポリプロピレン、ポリエチレンなど、オレフィン部品の固定。<br>●各種発泡体の取付用。<br>●色:無色半透明<br>●幅(mm):10<br>●長さ(m):20<br>●厚み(mm):0.13<br>●質量(g):68<br>●粘着力（SUS）：7.5N/10mm<br>●粘着力（PP）：8.7N/10mm<br>●基材：不織布<br>●粘着剤：アクリル系<br>",『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【DCX1018 10X20 R】(4730062)高接着低ＶＯＣ不織布両面粘着テープ ＤＣＸ&minus;１０１８ １０ｍｍＸ２０ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【DCX1018 10X20 R】(4730062)高接着低ＶＯＣ不織布両面粘着テープ ＤＣＸ&minus;１０１８ １０ｍｍＸ２０ｍ 受注単位1,環境安全用品\テープ用品\工業用両面テープ。『カード対応OK！』■〒スリーエム ジャパン（株）/３Ｍ【DCX1018 10X20 R】(4730062)高接着低ＶＯＣ不織布両面粘着テープ ＤＣＸ&minus;１０１８ １０ｍｍＸ２０ｍ 受注単位1[rn]
