20-53201,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img1038596941.jpg?fitin=700:700,4960.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ワニブロック　50ｍｍ,,,ワニブロック　50ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングワニブロック　50ｍｍ,ワニブロック　50ｍｍ[rn]
20-53212,http://tshop.r10s.jp/yminfo/cabinet/00171276/d-001.jpg?fitin=700:700,2196.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　セーフティーミニチェーン　φ6×1200mm　D-008,1回通してがっちり固定,"【ここがポイント！】 
● 両端に楕円リンクを採用しているので、1回通して対象物をしっかりホールド
 
● 自転車・オートバイ等の盗難防止やハシゴの転倒防止、門扉の施錠など身の回りをしっかりガード！ 
 
【商品仕様】 
L 1200mm  
D1 6mm 
L1 31mm 
W1 18mm 
D2 5mm 
L2 27mm 
W2 8mm 
使用荷重 2.45kN（250kgf） 
材質 SUS304",MM　ステンレス（SUS304)　セーフティーミニチェーン　φ6&times;1200mm　D-008：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　セーフティーミニチェーン　φ6&times;1200mm　D-008,1回通してがっちり固定。MM　ステンレス（SUS304)　セーフティーミニチェーン　φ6&times;1200mm　D-008[rn]
20-53213,http://tshop.r10s.jp/yminfo/cabinet/00171276/cj-1.jpg?fitin=700:700,124.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)　チェーンジョイント　CJ-3　,チェーンをつなげる便利なジョイント,"【ここがポイント！】 
● チェーンをセットし目を締めて出来上がり。ハンマーで叩いて外れなくすることも可能 
 
【商品仕様】 
D 7.5mm  
L 33mm 
W 17mm 
使用チェーン φ4 
使用荷重 0.59kN（60kgf） 
材質 本体：SUS304 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】MM　ステンレス（SUS304)　チェーンジョイント　CJ-3　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)　チェーンジョイント　CJ-3　,チェーンをつなげる便利なジョイント。【ネコポス可能】MM　ステンレス（SUS304)　チェーンジョイント　CJ-3　[rn]
20-53214,http://tshop.r10s.jp/yminfo/cabinet/00171276/16-m.jpg?fitin=700:700,25229.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　2.5×30m　2.5-M　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 錆びにくく美しいステンレス、マンテルチェーン
 
 
【商品仕様】 
線径d 2.5mm  
内長P 9.6mm 
内巾W 4.4mm
荷重 0.49kN（50kgf） 
耐力荷重 0.98kN（100kgf） 
長さ 30m 
重量 3.96kg 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　2.5&times;30m　2.5-M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　2.5&times;30m　2.5-M　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　2.5&times;30m　2.5-M　[rn]
20-53215,http://tshop.r10s.jp/yminfo/cabinet/00171276/es-15s.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン300mm、カラー：シルバー　ES-30S,地震時の家具の転倒を防ぐ！,"【ここがポイント！】 
● 家具転倒防止用です。壁と家具をチェーンでつなぎます。
家具の揺れをチェーンがストップ！アイストラップ・ネジもチェーンと同色です 
 
【商品仕様】 
こちらES-30Sになります。
材質：ステンレスSUS304
色：シルバー
チェーンの長さ300mm
セット内容：
ステンレスチェーンφ2.5×1本
アイストラップIS-4×2
ステンレス皿木ねじ2.7×20mm×4本",MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン300mm、カラー：シルバー　ES-30S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン300mm、カラー：シルバー　ES-30S,地震時の家具の転倒を防ぐ！。MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン300mm、カラー：シルバー　ES-30S[rn]
20-53216,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038564854.jpg?fitin=700:700,3520.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン 9ｍｍ,,,カットレギュラーチェーン 9ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン 9ｍｍ,カットレギュラーチェーン 9ｍｍ[rn]
20-53217,http://tshop.r10s.jp/yminfo/cabinet/00171276/16-m.jpg?fitin=700:700,14900.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　1.6×30m　1.6-M　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 錆びにくく美しいステンレス、マンテルチェーン
 
 
【商品仕様】 
線径d 1.6mm  
内長P 5.5mm 
内巾W 2.5mm 
使用荷重 0.18kN（18kgf） 
耐力荷重 0.35kN 
長さ 30m 
重量 1.74kg 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　1.6&times;30m　1.6-M　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　1.6&times;30m　1.6-M　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　ステンレス（SUS304)マンテルチェーン　1.6&times;30m　1.6-M　[rn]
20-53218,http://tshop.r10s.jp/yminfo/cabinet/00171276/es-15s.jpg?fitin=700:700,992.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン500mm、カラー：ブロンズ　ES-50R,地震時の家具の転倒を防ぐ！,"【ここがポイント！】 
● 家具転倒防止用です。壁と家具をチェーンでつなぎます。
家具の揺れをチェーンがストップ！アイストラップ・ネジもチェーンと同色です 
 
【商品仕様】 
こちらES-50Rになります。
材質：ステンレスSUS304
色：ブロンズ
チェーンの長さ500mm
セット内容：
ステンレスチェーンφ2.5×1本
アイストラップIS-4×2
ステンレス皿木ねじ2.7×20mm×4本",MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン500mm、カラー：ブロンズ　ES-50R：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン500mm、カラー：ブロンズ　ES-50R,地震時の家具の転倒を防ぐ！。MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン500mm、カラー：ブロンズ　ES-50R[rn]
20-53219,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038564854.jpg?fitin=700:700,6857.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン　13ｍｍ,,,カットレギュラーチェーン　13ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン　13ｍｍ,カットレギュラーチェーン　13ｍｍ[rn]
20-53220,http://tshop.r10s.jp/yminfo/cabinet/00171276/d-018.jpg?fitin=700:700,7890.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　セーフティーチェーン　φ10×1200mm　D-023,1回通してがっちり固定,"【ここがポイント！】 
● 両端に楕円リンクを採用しているので、1回通して対象物をしっかりホールド
 
● 自転車・オートバイ等の盗難防止やハシゴの転倒防止、門扉の施錠など身の回りをしっかりガード！ 
 
【商品仕様】 
L 1200mm  
D1 10mm 
L1 55mm 
W1 33mm 
D2 9mm 
L2 39mm 
W2 13mm 
使用荷重 7.84kN（800kgf） 
材質 SUS304",MM　ステンレス（SUS304)　セーフティーチェーン　φ10&times;1200mm　D-023：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　セーフティーチェーン　φ10&times;1200mm　D-023,1回通してがっちり固定。MM　ステンレス（SUS304)　セーフティーチェーン　φ10&times;1200mm　D-023[rn]
20-53221,http://tshop.r10s.jp/yminfo/cabinet/00171276/es-15s.jpg?fitin=700:700,416.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：シルバー　ES-15S,地震時の家具の転倒を防ぐ！,"【ここがポイント！】 
● 家具転倒防止用です。壁と家具をチェーンでつなぎます。
家具の揺れをチェーンがストップ！アイストラップ・ネジもチェーンと同色です 
 
【商品仕様】 
こちらES-15Sになります。
材質：ステンレスSUS304
色：シルバー
チェーンの長さ150mm
セット内容：
ステンレスチェーンφ2.5×1本
アイストラップIS-4×2
ステンレス皿木ねじ2.7×20mm×4本",MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：シルバー　ES-15S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：シルバー　ES-15S,地震時の家具の転倒を防ぐ！。MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：シルバー　ES-15S[rn]
20-53222,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10384766828.jpg?fitin=700:700,838.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン 4ｍｍ,,,カットレギュラーチェーン 4ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン 4ｍｍ,カットレギュラーチェーン 4ｍｍ[rn]
20-53223,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038564854.jpg?fitin=700:700,11428.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン　16ｍｍ,,,カットレギュラーチェーン　16ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン　16ｍｍ,カットレギュラーチェーン　16ｍｍ[rn]
20-53224,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038564854.jpg?fitin=700:700,32000.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン　28ｍｍ,,,カットレギュラーチェーン　28ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン　28ｍｍ,カットレギュラーチェーン　28ｍｍ[rn]
