20-23501,http://tshop.r10s.jp/wrapping/cabinet/hobby/4571239804647.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,,"レジンクラフトやクレイクラフトに！<br>

貼り合わせて作るドロップ立体型です。レジン等の溶液は注射器で注入でき、つなぎ目のきれいなドロップが出来上がります。 <br>
●全体サイズ：W45xD15xH28mm<br>
●パーツサイズ：丸直径20mm、四角14x20mm<br>
●材質：シリコーンゴム<br>

●対応素材：樹脂粘土・軽量粘土・オーブン粘土・レジン・銀粘土・UVジェル<P><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/nekoposu.jpg"" border=""0"" width=""100%""></P>",【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）,【ネコポス対応商品】3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】レジン 型 亀島商店ソフトモールド C-464 ドロップC 立体型（粘土型）[rn]
20-23523,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730376.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　イエロー　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　イエロー　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　イエロー　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　イエロー　10ml[rn]
20-23524,http://tshop.r10s.jp/wrapping/cabinet/hobby/padico/4902498741853-01.jpg?fitin=700:700,5529.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　200g　（UVレジンクラフト）,,"詰め替え専用の200ｇボトルです。<br>
樹脂製アクセサリーが簡単に作れちゃう♪紫外線で硬化する1液性の透明樹脂液！<br>
硬くて強いハードな仕上がり！アクセサリー製等に最適♪セッティングに接着！<br>
クリスタルの様な透明感があり、完全硬化後はベト付きが少なく、美しい仕上がり！<br>
透明型で型取りしたり、表面コーティング剤としても使用できます！<br><br>
●容量：200ｇ<br>
●色：透明<br>
●硬化時間：・UVライト（36W使用時）　2～10分（作品の厚みやライトの機種により異なります）<br>
・太陽光（晴天時）　10分～30分・太陽光（雲天時）　30分～60分（作品の厚みや季節により異なります）
●保管条件：温度が0～25℃　直射日光の当たらない暗所に密封して保管して下さい。<br><br>
※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>
※ご注意をよく読み使用してください。<br>
※ノズル付きの遮光容器に詰め替えて使用してください。なお、使用済の容器に詰め替える時は必ずUVレジン「太陽の雫」ハードタイプ25gを使用し、他社のUVレジン使用済容器は絶対に使用しないでください。",【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　200g　（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　200g　（UVレジンクラフト）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　200g　（UVレジンクラフト）[rn]
20-23525,http://tshop.r10s.jp/wrapping/cabinet/hobby/padico/4902498741860-01.jpg?fitin=700:700,12441.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　500g　（UVレジンクラフト）,,"詰め替え専用の500ｇ大容量ボトルです。<br>
樹脂製アクセサリーが簡単に作れちゃう♪紫外線で硬化する1液性の透明樹脂液！<br>
硬くて強いハードな仕上がり！アクセサリー製等に最適♪セッティングに接着！<br>
クリスタルの様な透明感があり、完全硬化後はベト付きが少なく、美しい仕上がり！<br>
透明型で型取りしたり、表面コーティング剤としても使用できます！<br><br>
●容量：500ｇ<br>
●色：透明<br>
●硬化時間：・UVライト（36W使用時）　2～10分（作品の厚みやライトの機種により異なります）<br>
・太陽光（晴天時）　10分～30分・太陽光（雲天時）　30分～60分（作品の厚みや季節により異なります）
●保管条件：温度が0～25℃　直射日光の当たらない暗所に密封して保管して下さい。<br><br>
※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>
※ご注意をよく読み使用してください。<br>
※ノズル付きの遮光容器に詰め替えて使用してください。なお、使用済の容器に詰め替える時は必ずUVレジン「太陽の雫」ハードタイプ25gを使用し、他社のUVレジン使用済容器は絶対に使用しないでください。",【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　500g　（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　500g　（UVレジンクラフト）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　詰め替え用　500g　（UVレジンクラフト）[rn]
20-23526,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730420.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　パープル　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　パープル　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　パープル　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　パープル　10ml[rn]
20-23527,http://tshop.r10s.jp/wrapping/cabinet/hobby/padico/4902498741839-01.jpg?fitin=700:700,332.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　5g（UVレジンクラフト）,,"樹脂製アクセサリーが簡単に作れちゃう♪紫外線で硬化する1液性の透明樹脂液！<br>
太陽光や紫外線で固まる、１液性の透明な樹脂材料です。硬くて強いハードな仕上がり！アクセサリー製等に最適♪セッティングに接着！<br>
UVライト（36W推奨）で2～30分、太陽光なら約30分で固まります！<br>
業界初！≪ソフトタイプ≫≪グミータイプ≫を併用してオリジナル・ミックスで「お好みの硬さ・柔らかさ」を自由に調節できます♪※硬化時間が異なってきますのでご注意ください。 <br>
クリスタルの様な透明感があり、完全硬化後はベト付きが少なく、美しい仕上がり！<br>
透明型で型取りしたり、表面コーティング剤としても使用できます！<br>
使い方は簡単！ボトルからレジンを注いで紫外線にあてるだけ。ボトルも使いやすく、手が汚れません。<br><br>
●容量：5ｇ<br>
●色：透明<br>
●硬化時間：・UVライト（36W使用時）　2～10分（作品の厚みやライトの機種により異なります）<br>
・太陽光（晴天時）　10分～30分・太陽光（雲天時）　30分～60分（作品の厚みや季節により異なります）
●保管条件：温度が0～25℃　直射日光の当たらない暗所に密封して保管して下さい。<br><br>
※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>
※作業を行う際はUVレジンを皮膚や衣類、家具などに付着させないよう、十分にご注意ください。<br>
※メッキ加工された金属は付着しにくいので、セッティングに太陽の雫を直接注いだ場合は、硬化させた後、一度セッティングから外し、接着剤でしっかり接着してください。<br>
※使用上のご注意をよく読み使用してください。",【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　5g（UVレジンクラフト）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　5g（UVレジンクラフト）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】パジコ ジュエルラビリンス　UVレジン液　「太陽の雫」ハードタイプ　5g（UVレジンクラフト）[rn]
20-23528,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730451.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ホワイト　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ホワイト　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ホワイト　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ホワイト　10ml[rn]
20-23529,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492648757-01.jpg?fitin=700:700,1036.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR（25g）,,紫外線で硬化する1液性の透明樹脂液！太陽光や紫外線で固まる、１液性の透明な樹脂材料です。<br>硬くて強いハードな仕上がり！アクセサリー製作等に最適♪硬化スピードが早く、手早く仕上がる！UVライト（36Wの場合）で3～5分、太陽光なら約5～30分で固まります。紫外線に当てないと硬化しないので、作業性に優れています。<br><br>ボトルからレジンを注いで紫外線にあてるだけ。ボトルも使いやすく、手が汚れません。様々な作品を作りたい方にピッタリのサイズです。<br>●容量：25ｇ<br>●色：透明<br>●硬化時間：<br>・UVライト（36W使用時）　3～5分 ・太陽光（晴天時）　5分～30分（作品の厚みや季節・ランプの種類により異なります）<br>●直射日光を避け、20℃以下の暗い場所に保管してください。<br>※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>※作業を行う際はUVレジンを皮膚や衣類、家具などに付着させないよう、十分にご注意ください。<br>※紙、布、革等の染み込みやすい素材や、柔軟性のある素材は不向きです。素焼の陶器や塗装処理をしていない木材には使えません。<br>※使用上のご注意をよく読み使用してください。,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR（25g）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR（25g）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR（25g）[rn]
20-23530,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730444.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ブラック　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ブラック　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ブラック　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ブラック　10ml[rn]
20-23531,http://tshop.r10s.jp/wrapping/cabinet/hobby/rejin55_2hon.jpg?fitin=700:700,3758.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）2本セット,,"<IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/hobby/rezin600.jpg"" border=""0"" width=""300""><br><br><IMG src=""http://image.rakuten.co.jp/wrapping/cabinet/hobby/uvcrezin600.jpg"" border=""0"" width=""300"">
<B><FONT color=""#f33268"">まとめ買いにピッタリ！<br>大容量55gの2本セットです♪</FONT></B><br><br>
紫外線で硬化する1液性の透明樹脂液！太陽光や紫外線で固まる、１液性の透明な樹脂材料です。<br>硬くて強いハードな仕上がり！アクセサリー製作等に最適♪硬化スピードが早く、手早く仕上がる！UVライト（36Wの場合）で3～5分、太陽光なら約5～30分で固まります。紫外線に当てないと硬化しないので、作業性に優れています。<br><br>ボトルからレジンを注いで紫外線にあてるだけ。ボトルも使いやすく、手が汚れません。沢山作品を作りたい方にピッタリの大容量タイプ！<br>●容量：55ｇ×2本セット<br>●色：透明<br>●硬化時間：<br>・UVライト（36W使用時）　3～5分 ・太陽光（晴天時）　5分～30分（作品の厚みや季節・ランプの種類により異なります）<br>●直射日光を避け、20℃以下の暗い場所に保管してください。<br>※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>※作業を行う際はUVレジンを皮膚や衣類、家具などに付着させないよう、十分にご注意ください。<br>※紙、布、革等の染み込みやすい素材や、柔軟性のある素材は不向きです。素焼の陶器や塗装処理をしていない木材には使えません。<br>※使用上のご注意をよく読み使用してください。",【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）2本セット：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）2本セット,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）2本セット[rn]
20-23532,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730406.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　シアン　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　シアン　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　シアン　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　シアン　10ml[rn]
20-23533,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730345.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ピンク　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ピンク　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ピンク　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　ピンク　10ml[rn]
20-23534,http://tshop.r10s.jp/wrapping/cabinet/hobby/4965492731190-01.jpg?fitin=700:700,2004.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）,,紫外線で硬化する1液性の透明樹脂液！太陽光や紫外線で固まる、１液性の透明な樹脂材料です。<br>硬くて強いハードな仕上がり！アクセサリー製作等に最適♪硬化スピードが早く、手早く仕上がる！UVライト（36Wの場合）で3～5分、太陽光なら約5～30分で固まります。紫外線に当てないと硬化しないので、作業性に優れています。<br><br>ボトルからレジンを注いで紫外線にあてるだけ。ボトルも使いやすく、手が汚れません。沢山作品を作りたい方にピッタリの大容量タイプ！<br>●容量：55ｇ<br>●色：透明<br>●硬化時間：<br>・UVライト（36W使用時）　3～5分 ・太陽光（晴天時）　5分～30分（作品の厚みや季節・ランプの種類により異なります）<br>●直射日光を避け、20℃以下の暗い場所に保管してください。<br>※硬化中は反応熱により高温となりますので、十分ご注意ください。<br>※作業を行う際はUVレジンを皮膚や衣類、家具などに付着させないよう、十分にご注意ください。<br>※紙、布、革等の染み込みやすい素材や、柔軟性のある素材は不向きです。素焼の陶器や塗装処理をしていない木材には使えません。<br>※使用上のご注意をよく読み使用してください。,【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）,3240円以上で送料無料！(沖縄県をのぞく)。【300円OFFクーポン！4月25日まで！】KIYOHARA/清原 レジンクラフト　UVクラフトレジン液（紫外線硬化樹脂液）UVR55G（55g）[rn]
20-23535,http://tshop.r10s.jp/wrapping/cabinet/002/4902498730369.jpg?fitin=700:700,331.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　オレンジ　10ml,,"UVレジン用の着色剤です♪<br>
発色が美しく、レジン液と混ざりやすい液体（リキッド）タイプです。<br>
着色剤の混合でお好きな色を作れます。<br>
嫌な臭いもなく、高品質で、まさにUVレジン着色剤の決定版！<br>
<br>
●数量：1個<br>
●容量：10ml<br>
●サイズ：70×130mm<br><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicoset.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicopalette.jpg""><br>
<img src=""http://image.rakuten.co.jp/wrapping/cabinet/headbanner/padicostick.jpg""><br>",【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　オレンジ　10ml：ラッピング倶楽部,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ラッピング包装紙袋ワックスペーパーロー引き袋ボックス箱梱包マスキングテープリボンレジン手作りクラフトパンチスクラップブッキングハワイアンリボンレイスイーツデコ粘土ブライダルデコパージュシール【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　オレンジ　10ml,3240円以上で送料無料！(沖縄県を除く)。【300円OFFクーポン！4月25日まで！】UVレジン用着色剤　パジコ　ジュエルラビリンス　宝石の雫　オレンジ　10ml[rn]
