20-164401,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya12/9301734-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=""deeppink""><b>変幻自在な電源タップ♪</b></font><br><br>
クネクネとジョイント部分が動くキュービックタップ！<br>
変幻自在に折り曲げて、お部屋や柱周りに合わせて使えます♪<br>
最大180に曲がるので、デジタルカメラなどの幅広アダプターもOK！<br><br>
◆一括集中スイッチ付きで省エネ♪<br>
◆トラッキング火災・静電気防止で安心安全♪<br>
※海外では使用できません。USBポートは付いていません。<br><br>●商品サイズ（約）：幅25.8×奥行3.85×高さ3.25cm<br>
●重量：約360g<br>
●材質<br>
本体：耐火ABS樹脂<br>
プラグ差し込み部分：耐火ABS樹脂、ユリア樹脂<br>
●カラー：ホワイト<br>
●コンセント差し込み口：4個<br>
●電源コード長さ：2.0m<br>
●定格：125V/15A （合計1500Wまで）<br>
●機能：静電気防止機能・絶縁キャップ（トラッキング火災防止）",CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】。CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕[rn]
20-164420,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_151/4969887835623_ll.jpg?fitin=700:700,932.8000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 中間スイッチ付延長コード(2P・1個口・2m) ホワイト TAP-B7-2N [TAPB72N],,□商品説明<br>●中間スイッチ付きで機器のON・OFFができ、お手持ちのスイッチなしのタップもスイッチ付きにできます。<br>●通電確認ランプ付きなので、一目で使用状況が確認できます。<br>●恐ろしいコンセント火災を予防する、絶縁キャップ付きスイングプラグです。<br>□商品仕様<br>●定格容量:15A・125V(1500Wまで)<br>●プラグ仕様:2P(絶縁キャップ付きスイングプラグ)<br>●差込口:2P・1個口<br>●電源コード長:2m<br>●寸法:W10.45×H2.36×D3.5cm,サンワサプライ 中間スイッチ付延長コード(2P・1個口・2m) ホワイト TAP-B7-2N [TAPB72N]：エディオン　楽天市場店,サンワサプライ 中間スイッチ付延長コード(2P・1個口・2m) ホワイト TAP-B7-2N [TAPB72N],サンワサプライ 中間スイッチ付延長コード(2P・1個口・2m) ホワイト TAP-B7-2N [TAPB72N][rn]
20-164421,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887836668_ll.jpg?fitin=700:700,1193.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 火災予防安全タップ（2P・6個口・5m） ホワイト TAP-TSH65SWN [TAPTSH65SWN],,□商品説明<br>●差込口はホコリの侵入を防止するシャッターが付いて安全です。子供のいたずら予防にもなります。<br>●恐ろしいコンセント火災を予防する絶縁キャップ付きスイングプラグを採用しました。<br>●集中スイッチ付きなので、一括電源ON・OFFができて便利です。またランプ付きスイッチなので電源の切り忘れ防止にもなります。<br>●安全性、信頼性を向上させた保護被ふくコードを使用しています。<br>●RoHS指令に対応した製品です。<br>●接続した機器を記入できるネームタグ付きです。<br>□商品仕様<br>●定格容量：15A・125V（合計1500Wまで）<br>●プラグ仕様：2P・スイングプラグ（絶縁キャップ付き）<br>●差込口：2P・6個口<br>●電源コード長：5m<br>●本体サイズ：W224×D44×H31.4mm（スイッチガードを含む）<br>●付属品：ネームタグ×6,サンワサプライ 火災予防安全タップ（2P・6個口・5m） ホワイト TAP-TSH65SWN [TAPTSH65SWN]：エディオン　楽天市場店,サンワサプライ 火災予防安全タップ（2P・6個口・5m） ホワイト TAP-TSH65SWN [TAPTSH65SWN],サンワサプライ 火災予防安全タップ（2P・6個口・5m） ホワイト TAP-TSH65SWN [TAPTSH65SWN][rn]
20-164422,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_007/4950190351542_ll.jpg?fitin=700:700,744.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,BUFFALO 2ピン式電源タップ 雷サージ防止付(4個口・2m) ホワイト BSTAPSG2420WH [BSTAPSG2420WH],,□商品説明<br>●2ピン4個口の電源タップ。<br>●落雷による機器の故障を防ぐ雷サージガード付。<br>●スイングプラグで、狭い場所でも壁にピッタリ!<br>●差込口は、安心の2重構造で熱に強い!<br>●安心のトラッキング現象防止プラグ。<br>●コードは二重被ふくを採用。<br>●ビニール袋パッケージで環境に優しい。<br>●RoHS基準値準拠。<br>□商品仕様<br>●口数:4個口<br>●プラグ仕様:2ピン<br>●スイッチ:なし<br>●定格容量:AC125V、15A、合計1500Wまで対応<br>●動作環境:温度0℃～40℃、湿度20%～80%(結露なきこと)<br>●ケーブル長:2m<br>●外形寸法:W8.9×H2.2×D4.0cm<br>●質量:240g<br>●製品構成:本体,BUFFALO 2ピン式電源タップ 雷サージ防止付(4個口・2m) ホワイト BSTAPSG2420WH [BSTAPSG2420WH]：エディオン　楽天市場店,BUFFALO 2ピン式電源タップ 雷サージ防止付(4個口・2m) ホワイト BSTAPSG2420WH [BSTAPSG2420WH],BUFFALO 2ピン式電源タップ 雷サージ防止付(4個口・2m) ホワイト BSTAPSG2420WH [BSTAPSG2420WH][rn]
20-164423,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_061/4953103248144_ll.jpg?fitin=700:700,896.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 電源タップ Color Style レッド(1.0m) T-C02-2410RD [TC022410RD],,<font color=#008000><b>アウトレット商品につき、外箱に色あせ、スリキズ等ある場合がございますが、ご容赦くださいますようお願いいたします。</b></font><br>□商品説明<br>●液晶テレビなどのデザイン家電と色をあわせたり、お部屋のインテリアにあわせたりと、お好みに応じてコーディネートしていただけます。<br>●接続した機器の電源を個別にオン/オフできる「個別スイッチ」が付いた省エネタップです。機器ごとに待機電流をカットできるので、より細やかな電源管理が可能です。<br>●タップに挿し込んだケーブルの重みでタップが傾くことなく、すっきり配線できる横挿しタイプで、卓上での使用にも最適です。<br>●ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>●差込口は耐熱性に優れたユリア樹脂を使用し、万一発熱した場合でも融解しにくく、電気火災を防止します。<br>●トラッキング現象による火災を防ぐ絶縁キャップ付きのコンセントプラグを採用しています。<br>●社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用し、感電・火災を防止します。<br>●狭い場所でも配線しやすい180°スイングプラグを採用。<br>□商品仕様<br>●材質:本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●コンセント仕様:2P式4個口<br>●プラグ仕様:2P式・スイングプラグ<br>●定格:125V・15A・1500W<br>●コード長:1.0m<br>●寸法:W4.5×H2.65×D19.5cm(コード部分及びプラグ部分を除く)<br>●質量:215g(コード、プラグを含む),エレコム 電源タップ Color Style レッド(1.0m) T-C02-2410RD [TC022410RD]：エディオン　楽天市場店,エレコム 電源タップ Color Style レッド(1.0m) T-C02-2410RD [TC022410RD],エレコム 電源タップ Color Style レッド(1.0m) T-C02-2410RD [TC022410RD][rn]
20-164424,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887835838_ll.jpg?fitin=700:700,2040.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 電源タップ（3P・4個口・5m） TAP-MG341N2-5 [TAPMG341N25],,□商品説明<br>●3P抜け止めの4個口タップです。<br>●通電状態が一目で確認できる通電ランプ付きです。<br>●裏面にマグネットが付いているので、スチール製デスクなどに簡単に仮固定することができ、メンテナンスがしやすく便利です。<br>●アース接続できるアース端子付きです。<br>●ネジでタップを仮固定したり、フックに引っ掛けることができる仮固定穴付きです。<br>●差込口部分にユリア樹脂材を使用した熱に強い構造です。<br>●3P→2P変換アダプタ付きです。<br>●ゴミが少なく環境に優しい簡易ビニールパッケージです。<br>●RoHS指令対応製品です。<br>EU（欧州連合）域内で施行されている「RoHS指令」に基づき、特定有害物質を制限した製品です。<br>□商品仕様<br>●定格容量：15A・125V（合計1500Wまで）<br>●プラグ仕様：3P（3P→2P変換アダプタ付き）<br>●差込口：3P・4個口<br>●電源コード長：5m<br>●本体サイズ：W224×D45×H29.6mm<br>●材質：<br>ケース/難燃性ABS樹脂<br>差込口部分/ユリア樹脂<br>●ネジ＆フック仮固定穴あり（両端2ヵ所）,サンワサプライ 電源タップ（3P・4個口・5m） TAP-MG341N2-5 [TAPMG341N25]：エディオン　楽天市場店,サンワサプライ 電源タップ（3P・4個口・5m） TAP-MG341N2-5 [TAPMG341N25],サンワサプライ 電源タップ（3P・4個口・5m） TAP-MG341N2-5 [TAPMG341N25][rn]
20-164425,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_007/4950190351764_ll.jpg?fitin=700:700,1392.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,BUFFALO 2ピン式電源タップ 雷サージ防止/個別スイッチ付(3個口・5m) ホワイト BSTAPSW2350WH [BSTAPSW2350WH],,□商品説明<br>●2ピン3個口の電源タップ。<br>●個別スイッチ付きで電気の消費を抑えるエコタイプ。<br>●落雷による機器の故障を防ぐ雷サージガード付。<br>●スイングプラグで、狭い場所でも壁にピッタリ!<br>●差込口は、安心の2重構造で熱に強い!<br>●安心のトラッキング現象防止プラグ。<br>●コードは二重被ふくを採用。<br>●ビニール袋パッケージで環境に優しい。<br>●RoHS基準値準拠。<br>□商品仕様<br>●口数:3個口<br>●プラグ仕様:2ピン<br>●スイッチ:個別スイッチ<br>●定格容量:AC125V、15A、合計1500Wまで対応<br>●動作環境:温度0℃～40℃、湿度20%～80%(結露なきこと)<br>●ケーブル長:5m<br>●外形寸法:W15.8×H3.1×D4.9cm<br>●質量:470g<br>●製品構成:本体,BUFFALO 2ピン式電源タップ 雷サージ防止/個別スイッチ付(3個口・5m) ホワイト BSTAPSW2350WH [BSTAPSW2350WH]：エディオン　楽天市場店,BUFFALO 2ピン式電源タップ 雷サージ防止/個別スイッチ付(3個口・5m) ホワイト BSTAPSW2350WH [BSTAPSW2350WH],BUFFALO 2ピン式電源タップ 雷サージ防止/個別スイッチ付(3個口・5m) ホワイト BSTAPSW2350WH [BSTAPSW2350WH][rn]
20-164426,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887831526_ll.jpg?fitin=700:700,2046.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 工事物件雷ガードタップ（3P・4個口・3m） TAP-K4NSP-3 [TAPK4NSP3],,□商品説明<br>●雷ガード機能付きです。雷サージによる機器の損傷から守ります。電源ライン間、電源-アース間両方に耐サージ機能を搭載しています。<br>●雷ガード確認ランプ付きです。雷ガードが作動しているか確認できます。<br>●熱に強い二重構造ケースです。<br>●トラッキング火災予防に有効な絶縁キャップ付きプラグです。<br>●裏面にマグネットが付いているので、スチールのデスクなどに仮固定することができます。メンテナンスがしやすく便利です。<br>●無鉛ハンダを使用した環境対策商品です。<br>●ゴミが少なく、環境に優しい簡易ビニール袋パッケージを採用しています。<br>●RoHS指令に対応した製品です。<br>□商品仕様<br>●カラー：ホワイト<br>●定格容量：15A・125V（1500Wまで）<br>●プラグ仕様：3P（絶縁キャップ付き）<br>●差込口：3P（ノーマルタイプ）・4個口<br>●差込口間ピッチ：40mm<br>●コード長：3m<br>●コード仕様：VCTFコード<br>●本体サイズ：W239×D43.5×H26mm<br>●サージ耐量：<br>ライン・ライン間/1000A（8/20μs）<br>ライン・アース間/500A（8/20μs）<br>※衝撃波電流をそれぞれ1回流したとき、バリスタ電圧の変化率が±10％以内のピーク電流値。<br>●制限電圧：<br>ライン・ライン間/最大1000V（100A）<br>ライン・アース間/最大1500V（50A）<br>●使用バリスタ：<br>240V+電流ヒューズ（ライン間）<br>470V+温度ヒューズ（アース間）,サンワサプライ 工事物件雷ガードタップ（3P・4個口・3m） TAP-K4NSP-3 [TAPK4NSP3]：エディオン　楽天市場店,サンワサプライ 工事物件雷ガードタップ（3P・4個口・3m） TAP-K4NSP-3 [TAPK4NSP3],サンワサプライ 工事物件雷ガードタップ（3P・4個口・3m） TAP-K4NSP-3 [TAPK4NSP3][rn]
20-164427,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4969887836743_ll.jpg?fitin=700:700,1160.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 節電エコタップ(2P・4個口・1m) TAP-S24-1 [TAPS241],,●独立したスイッチにより機器ごとのON・OFFが可能なので、こまめにON・OFFすることで待機電力を減らし、節電効果があります。<br>●スイッチには省電力グリーンLEDランプを使用しているので、1日10時間の使用でも10年以上持ちます。<br>●差込口は熱に強いユリア樹脂を使用しているので、安全に使用できます。<br>●ACアダプタに対応したレイアウトを採用しており、小型ACアダプタが無理なく1個接続可能です。<br>●より丈夫で安全な二重被ふくコードを使用しています。<br>●壁などに仮固定できるフック穴付きです。(穴ピッチ175mm)<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグを採用しています。<br>●L型プラグなので、電源コードが下になり、スッキリ配線ができます。<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P・絶縁キャップ付きL型プラグ<br>●差込口:2P・4個口<br>●電源コード長:1m<br>●サイズ:本体/W223×D40×H26mm<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●仮固定穴ピッチ:175mm,サンワサプライ 節電エコタップ(2P・4個口・1m) TAP-S24-1 [TAPS241]：エディオン　楽天市場店,サンワサプライ 節電エコタップ(2P・4個口・1m) TAP-S24-1 [TAPS241],サンワサプライ 節電エコタップ(2P・4個口・1m) TAP-S24-1 [TAPS241][rn]
20-164428,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_126/4969887831823_ll.jpg?fitin=700:700,712.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 電源延長コード（3分岐・2P・3個口・0．3m、防塵キャップ付き） ブラック TAP-EX32-03BK [TAPEX3203BK],,□商品説明<br>●電源コードの分岐やACアダプタの接続に便利です。<br>●ホコリの侵入を防止する防塵キャップ付きなので、安全に使用できます。<br>●コードは耐久性の高い、ソフトVCTコードを採用しています。<br>●安全な二重被ふくコードです。<br>●RoHS指令に対応した製品です。<br>□商品仕様<br>●カラー：ブラック<br>●定格容量：15A・125V（最大1500Wまで）<br>●プラグ仕様：2P<br>●差込口：2P・3個口（防塵キャップ付き）<br>●電源コード長：0.3m（VCT1.25平方ミリメートル×2芯）<br>●生産国：日本,サンワサプライ 電源延長コード（3分岐・2P・3個口・0．3m、防塵キャップ付き） ブラック TAP-EX32-03BK [TAPEX3203BK]：エディオン　楽天市場店,サンワサプライ 電源延長コード（3分岐・2P・3個口・0．3m、防塵キャップ付き） ブラック TAP-EX32-03BK [TAPEX3203BK],サンワサプライ 電源延長コード（3分岐・2P・3個口・0．3m、防塵キャップ付き） ブラック TAP-EX32-03BK [TAPEX3203BK][rn]
20-164429,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887831595_ll.jpg?fitin=700:700,1756.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 工事物件タップ赤（3P・4個口・3m） レッド TAP-K4-3R [TAPK43R],,□商品説明<br>●病院、工場、オフィスの緊急用電源として使われる赤色の電源タップです。<br>●3P抜け止めタイプの4個口タップです。<br>●電源状態が確認できる通電ランプ付きです。<br>●差込口部分に熱・衝撃に強いユリア樹脂を採用して二重構造にしています。<br>●トラッキング火災予防絶縁キャップ付き、3Pプラグです。<br>●裏面にマグネットが付いているので、スチールのデスクなどに仮固定することができます。<br>●無鉛ハンダを使用し、RoHS指令に対応した環境にやさしい製品です。<br>●ゴミを減らすことができて環境にも優しい、簡易ビニール袋パッケージを採用しています。<br>□商品仕様<br>●差込口カラー：レッド<br>●プラグ仕様：3P（トラッキング火災予防絶縁キャップ付き）<br>●電源コード：3m<br>●定格容量：15A・125V（1500Wまで）<br>●サイズ：W239×D43.5×H26mm<br>●差込口間ピッチ：40mm,サンワサプライ 工事物件タップ赤（3P・4個口・3m） レッド TAP-K4-3R [TAPK43R]：エディオン　楽天市場店,サンワサプライ 工事物件タップ赤（3P・4個口・3m） レッド TAP-K4-3R [TAPK43R],サンワサプライ 工事物件タップ赤（3P・4個口・3m） レッド TAP-K4-3R [TAPK43R][rn]
20-164430,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887831663_ll.jpg?fitin=700:700,3464.8000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 工事物件タップ（3P・8個口・3m） グリーン TAP-K8-3G [TAPK83G],,□商品説明<br>●病院、工場、オフィスのバックアップ用電源として使われる赤色の電源タップです。<br>●3P抜け止めタイプの8個口タップです。<br>●電源状態が確認できる通電ランプ付きです。<br>●差込口部分に熱・衝撃に強いユリア樹脂を採用して二重構造にしています。<br>●トラッキング火災予防絶縁キャップ付き、3Pプラグです。<br>●裏面にマグネットが付いているので、スチールのデスクなどに仮固定することができます。<br>●無鉛ハンダを使用し、RoHS指令に対応した環境にやさしい製品です。<br>●ゴミを減らすことができて環境にも優しい、簡易ビニール袋パッケージを採用しています。<br>□商品仕様<br>●差込口カラー：グリーン<br>●プラグ仕様：3P（トラッキング火災予防絶縁キャップ付き）<br>●電源コード：3m<br>●定格容量：15A・125V（1500Wまで）<br>●サイズ：W419×D43.5×H26mm<br>●差込口間ピッチ：40mm<br>※センターのみ60mm,サンワサプライ 工事物件タップ（3P・8個口・3m） グリーン TAP-K8-3G [TAPK83G]：エディオン　楽天市場店,サンワサプライ 工事物件タップ（3P・8個口・3m） グリーン TAP-K8-3G [TAPK83G],サンワサプライ 工事物件タップ（3P・8個口・3m） グリーン TAP-K8-3G [TAPK83G][rn]
20-164431,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4969887836781_ll.jpg?fitin=700:700,1400.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 節電エコタップ(2P・6個口・1m) TAP-S25-1 [TAPS251],,●独立したスイッチにより機器ごとのON・OFFが可能なので、こまめにON・OFFすることで待機電力を減らし、節電効果があります。<br>●スイッチには省電力グリーンLEDランプを使用しているので、1日10時間の使用でも10年以上持ちます。<br>●差込口は熱に強いユリア樹脂を使用しているので、安全に使用できます。<br>●ACアダプタに対応したレイアウトを採用しており、小型ACアダプタが無理なく1個接続可能です。<br>●より丈夫で安全な二重被ふくコードを使用しています。<br>●壁などに仮固定できるフック穴付きです。(穴ピッチ245mm)<br>●トラッキング火災予防に効果的な絶縁キャップ付きプラグを採用しています。<br>●L型プラグなので、電源コードが下になり、スッキリ配線ができます。<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P・絶縁キャップ付きL型プラグ<br>●差込口:2P・6個口<br>●電源コード長:1m<br>●サイズ:本体/W291×D40×H26mm<br>●材質:本体/難燃性ABS樹脂、差込口/ユリア樹脂<br>●仮固定穴ピッチ:245mm,サンワサプライ 節電エコタップ(2P・6個口・1m) TAP-S25-1 [TAPS251]：エディオン　楽天市場店,サンワサプライ 節電エコタップ(2P・6個口・1m) TAP-S25-1 [TAPS251],サンワサプライ 節電エコタップ(2P・6個口・1m) TAP-S25-1 [TAPS251][rn]
20-164432,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_149/4953103302020_ll.jpg?fitin=700:700,1626.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム ほこり防止シャッター付きスリムタップ(6個口・3m) ホワイト T-NSL-2630WH [TNSL2630WH],,□商品説明<br>●ACアダプタもすっきり接続できるほこり防止シャッター付きスリムタップです。<br>●タップの差込口の間隔が約58mmと通常のタップと比較して広く、ACアダプタもすっきり接続可能です。<br>●トップの5個口に加え、サイドに1個口を装備し、幅広の機器を接続する場合に便利です。<br>●ACアダプタを5つ挿すことがことができます。<br>●差込口に耐熱性に優れたユリア樹脂を使用し、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●トラッキング現象による火災の防止に役立つ、絶縁キャップ付きのコンセントプラグを採用しています。<br>●電源コードには社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用しており、断線や被ふく破れによる感電・火災の防止に有効です。<br>●未使用時の差込口へのほこりの浸入を防止するほこり防止シャッターを装備しています。お子様のいたずらによる感電・火災の防止に役立ちます。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●プラグ仕様は2ピン式で、便利な6個口タイプです。<br>□商品仕様<br>●本体差込口形状:2ピン<br>●本体差込口個数:6個口<br>●プラグ仕様:2ピン・スイングプラグ<br>●コード長:3m<br>●定格:125V・15A・1500W<br>●ほこりシャッター:○<br>●絶縁キャップ付きプラグ:○<br>●二重被ふく:○<br>●スイングプラグ:○<br>●材質:本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●使用可能地域:本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●電気用品安全法:PSE適合<br>●寸法:W3.2×H2.6×D29.2cm ※コード部分及びプラグ部分を除く<br>●質量:約408g,エレコム ほこり防止シャッター付きスリムタップ(6個口・3m) ホワイト T-NSL-2630WH [TNSL2630WH]：エディオン　楽天市場店,エレコム ほこり防止シャッター付きスリムタップ(6個口・3m) ホワイト T-NSL-2630WH [TNSL2630WH],エレコム ほこり防止シャッター付きスリムタップ(6個口・3m) ホワイト T-NSL-2630WH [TNSL2630WH][rn]
20-164433,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_133/4969887835715_ll.jpg?fitin=700:700,1008.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ プラス1個口便利タップ（2P・3個口＋1個口・5m） TAP-B9-5N [TAPB95N],,□商品説明<br>●プラグにシャッター付き差込口が1個付いているので、壁のコンセントを無駄なく使えて便利です。<br>●差込口は、ホコリ防止シャッター付きで、トラッキング火災防止やお子様のいたずら防止になります。<br>●プラグの刃の根元にはトラッキング火災予防に有効な絶縁キャップが付いたL型プラグを採用しています。<br>□商品仕様<br>●定格容量：15A・125V（合計1500Wまで）<br>●プラグ仕様：2P（絶縁キャップ付き・L型プラグ）<br>●差込口：2P・3個口＋1個口<br>●電源コード長：5m<br>●本体サイズ：W86×D44×H20.8mm<br>●重量：140g,サンワサプライ プラス1個口便利タップ（2P・3個口＋1個口・5m） TAP-B9-5N [TAPB95N]：エディオン　楽天市場店,サンワサプライ プラス1個口便利タップ（2P・3個口＋1個口・5m） TAP-B9-5N [TAPB95N],サンワサプライ プラス1個口便利タップ（2P・3個口＋1個口・5m） TAP-B9-5N [TAPB95N][rn]
20-164434,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_061/4953103248113_ll.jpg?fitin=700:700,960.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 電源タップ Color Style ブラック(2.0m) T-C02-2420BK [TC022420BK],,<font color=#008000><b>アウトレット商品につき、外箱に色あせ、スリキズ等ある場合がございますが、ご容赦くださいますようお願いいたします。</b></font><br>□商品説明<br>●液晶テレビなどのデザイン家電と色をあわせたり、お部屋のインテリアにあわせたりと、お好みに応じてコーディネートしていただけます。<br>●接続した機器の電源を個別にオン/オフできる「個別スイッチ」が付いた省エネタップです。機器ごとに待機電流をカットできるので、より細やかな電源管理が可能です。<br>●タップに挿し込んだケーブルの重みでタップが傾くことなく、すっきり配線できる横挿しタイプで、卓上での使用にも最適です。<br>●ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>●差込口は耐熱性に優れたユリア樹脂を使用し、万一発熱した場合でも融解しにくく、電気火災を防止します。<br>●トラッキング現象による火災を防ぐ絶縁キャップ付きのコンセントプラグを採用しています。<br>●社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用し、感電・火災を防止します。<br>●狭い場所でも配線しやすい180°スイングプラグを採用。<br>□商品仕様<br>●材質:本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●コンセント仕様:2P式4個口<br>●プラグ仕様:2P式・スイングプラグ<br>●定格:125V・15A・1500W<br>●コード長:2.0m<br>●寸法:W4.5×H2.65×D19.5cm(コード部分及びプラグ部分を除く)<br>●質量:285g(コード、プラグを含む),エレコム 電源タップ Color Style ブラック(2.0m) T-C02-2420BK [TC022420BK]：エディオン　楽天市場店,エレコム 電源タップ Color Style ブラック(2.0m) T-C02-2420BK [TC022420BK],エレコム 電源タップ Color Style ブラック(2.0m) T-C02-2420BK [TC022420BK][rn]
20-164435,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_139/4953103191235_ll.jpg?fitin=700:700,2720.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム EU RoHS指令準拠 二重構造工事用タップ(5．0m・6個口 ) グレー T-WRM3650LG/RS [TWRM3650LGRS],,●熱に強い二重構造ケースを採用した、6個口の工事用タップです。  <br>●EUの「RoHS指令(電器・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。  <br>●環境に配慮し、ゴミを減らせて開梱作業もスムーズな簡易パッケージ仕様です。  <br>●裏面の強力マグネットでスチール面にしっかり固定できます。  <br>●差し込み口を回転させることによりプラグをロックすることができ、不意の抜け落ちを防止します。  <br>●差し込み口は耐熱性に優れたユリア樹脂を使用した二重構造ですので、大電流を使用する工事用に最適です。  <br>●電源コードには丈夫で安全性を向上させた二重被ふくケーブルを使用し、漏電などのトラブルを軽減します。  <br>●通電しているかどうかがひと目で分かる、通電表示LEDランプが付いています。  <br>●ネジやフックで仮固定ができるように仮固定穴を設けています。<br>●本体差込口形状:3ピン <br>●本体差込口個数:6個口 <br>●プラグ仕様:3ピン・ストレートプラグ <br>●コード長:5.0m <br>●定格:15A・125V・1500W <br>●通電表示ランプ:○ <br>●二重被ふく:○ <br>●抜け止め機能:○ <br>●マグネット:○ <br>●壁掛け用フック:○ <br>●外形寸法:幅295.0mm×奥行43.5mm×高さ26.0mm <br>●質量:850g <br>●環境配慮事項:EU RoHS指令準拠、環境配慮パッケージ <br>●材質:本体/ABS、プラグ受け部分/ユリア樹脂 <br>●使用可能地域:本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。,エレコム EU RoHS指令準拠 二重構造工事用タップ(5．0m・6個口 ) グレー T-WRM3650LG/RS [TWRM3650LGRS]：エディオン　楽天市場店,エレコム EU RoHS指令準拠 二重構造工事用タップ(5．0m・6個口 ) グレー T-WRM3650LG/RS [TWRM3650LGRS],エレコム EU RoHS指令準拠 二重構造工事用タップ(5．0m・6個口 ) グレー T-WRM3650LG/RS [TWRM3650LGRS][rn]
