20-76001,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10346.jpg?fitin=700:700,503.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:.2×7.0×20.0mm<br>
■粒度:#40<br>
■角度:3.3°<br>
■軸径:.6mm<br>
【重量】<br>
0.2ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）[rn]
20-76013,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0586.jpg?fitin=700:700,168.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ 軸付砥石　WA　傘型  ＃60 WA13U,,"3mm軸先端シリーズ<br>
軸付砥石・ゴム砥石<br>
3mm軸用のストレートグラインダー(ミニルーター)に取り付けて使用するシリーズです。荒削り用から仕上げ用まで、多様な製品が揃っています。<br>
3材質・15種の豊富なラインナップ!<br>
用途<br>
●合金鋼・工具鋼などの生材の研削、バリ取り、面取り等。<br>
梱包形態：シェルパック<br>
形状：傘型<br>
砥材/粒度：WA#60<br>
梱包サイズ：56×145<br>
本体サイズ：13×25×3<br><br>
（メーカー）　柳瀬 株式会社（ヤナセ）",ヤナセ 軸付砥石　WA　傘型  ＃60 WA13U：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ 軸付砥石　WA　傘型  ＃60 WA13U,ヤナセ 軸付砥石　WA　傘型  ＃60 WA13U[rn]
20-76014,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10427.jpg?fitin=700:700,503.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　120M  1.6mm軸 T1120M,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:.8×0.0×20.0mm<br>
■粒度:#40<br>
■角度:3.6°<br>
■軸径:.6mm<br>
【重量】<br>
0.3ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　120M  1.6mm軸 T1120M：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　120M  1.6mm軸 T1120M,トラスコ ダイヤモンドバー　120M  1.6mm軸 T1120M[rn]
20-76015,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-2538.jpg?fitin=700:700,308.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　木工用　NO.H （331679）,,"木材・石材・タイル・鉄・超硬合金などの削り作業に。<br>
<br>
木材・石材・超硬合金などの研磨に。<br>
<br>
電気ドリル・エアーグラインダーでご使用ください。<br>
<br>
●粒度gC80P<br>
　軸径6mm<br>
　砥石部分：巾16Φ　長さ32mm<br>
<br>
ドリルの回転数は30000rpm以下でご使用ください。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　木工用　NO.H （331679）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　木工用　NO.H （331679）,SK11 軸付砥石　木工用　NO.H （331679）[rn]
20-76016,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3356.jpg?fitin=700:700,191.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　鉄工用 （NO.9(B)）,,"金属研磨に(6mm軸)。<br>
ステンレス・鉄などの削り、工作に。<br>
6mm軸なので、電気ドリル・エアーグラインダーで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：WAP60P　軸径6mm　砥石部分：巾19mm　長さ19mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　鉄工用 （NO.9(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　鉄工用 （NO.9(B)）,SK11 軸付砥石　鉄工用 （NO.9(B)）[rn]
20-76017,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3355.jpg?fitin=700:700,188.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付砥石　鉄工用 （NO.8(B)）,,"金属研磨に(6mm軸)。<br>
ステンレス・鉄などの削り、工作に。<br>
6mm軸なので、電気ドリル・エアーグラインダーで使用できます。<br>
オーバーハングは15mm以下でご使用ください。<br>
●粒度：WAP60P　軸径6mm　砥石部分：巾16mm　長さ16mm。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付砥石　鉄工用 （NO.8(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付砥石　鉄工用 （NO.8(B)）,SK11 軸付砥石　鉄工用 （NO.8(B)）[rn]
20-76018,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3389.jpg?fitin=700:700,284.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 軸付スポンジ砥石ステンレス用 （P-3(B)）,,"ステンレス、一般金属の磨き、バリ取り、塗装はがしに。<br>
ソフトなあたりで傷がつきにくく、目詰まりしません。<br>
オーバーハングは13mm以下でご使用ください。<br>
●軸径：6mm。<br>
●砥石部分：巾25mm・長さ25mm。<br>
●粒度：C80。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 軸付スポンジ砥石ステンレス用 （P-3(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 軸付スポンジ砥石ステンレス用 （P-3(B)）,SK11 軸付スポンジ砥石ステンレス用 （P-3(B)）[rn]
20-76019,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10430.jpg?fitin=700:700,503.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　101M 1.6mm軸 （T1101M）,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:.8×0.0×20.0mm<br>
■粒度:#40<br>
■角度:8.5°<br>
■軸径:.6mm<br>
【重量】<br>
0.2ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　101M 1.6mm軸 （T1101M）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　101M 1.6mm軸 （T1101M）,トラスコ ダイヤモンドバー　101M 1.6mm軸 （T1101M）[rn]
20-76020,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0643.jpg?fitin=700:700,172.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ カートリッジロール　A ＃120　 （C107T）,,"3mm軸先端シリーズ<br>
超硬カッター・ロータリーやすり<br>
3mm軸用のストレートグラインダー(ミニルーター)に取り付けて使用するシリーズです。荒削り用から仕上げ用まで、多様な製品が揃っています。<br>
テーパー型<br>
金属細部の研磨に!<br>
用途<br>
●ペーパーが軸に巻きつけてあり、自生作用に優れ、常に新しい面での研磨が出来ます。<br>
●R面や曲面のあるワークにも自然に馴染みます。<br>
●細部の研磨やバリ取り、面取りに最適です。<br>
梱包形態：シェルパック<br>
砥材：A<br>
粒度：#120<br>",ヤナセ カートリッジロール　A ＃120　 （C107T）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ カートリッジロール　A ＃120　 （C107T）,ヤナセ カートリッジロール　A ＃120　 （C107T）[rn]
20-76021,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3408.jpg?fitin=700:700,483.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 ロータリーヤスリ　木工用 （NO.A(B)）,,"木材などの削り、工作に。<br>
木材加工。<br>
オーバーハングは15mm以下でご使用ください。<br>
●砥石部分：巾14mm・長さ35mm。<br>
●軸径：6mm。<br>
●炭素鋼。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 ロータリーヤスリ　木工用 （NO.A(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 ロータリーヤスリ　木工用 （NO.A(B)）,SK11 ロータリーヤスリ　木工用 （NO.A(B)）[rn]
20-76022,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-5/f23-3401.jpg?fitin=700:700,500.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,SK11 ロータリーヤスリ　鉄工用 （NO.9(B)）,,"鉄・木の削り、工作に。<br>
鉄・木材加工。<br>
オーバーハングは15mm以下でご使用ください。<br>
●軸径：6mm。<br>
●炭素鋼。<br><br>
（ブランド）　SK11<br>
（メーカー）　藤原産業株式会社",SK11 ロータリーヤスリ　鉄工用 （NO.9(B)）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドSK11 ロータリーヤスリ　鉄工用 （NO.9(B)）,SK11 ロータリーヤスリ　鉄工用 （NO.9(B)）[rn]
20-76023,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0340.jpg?fitin=700:700,1071.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ きのこユニロン　細目 （KU9011H）,,"6mm軸先端シリーズ<br>
軸付ホイール・きのこ<br>
ストレートグラインダーや電気ドリルに取り付けて使用するシリーズです。荒研磨から鏡面仕上げまで幅広い分野に使用されています。<br>
きのこ形状の強み! 凹凸面・R面にピッタリフィット!<br>
特長<br>
●きのこ型で先端も側面も全面使用できます。<br>
●きのこ形状と弾性によりR面にもピッタリフィットします。<br>
用途<br>
●金属・木工の表面クリーニング及び中仕上げ研磨。<br>
●曲面、凹面の仕上げ研磨。<br>
●パイプ内のクリーニング。<br>",ヤナセ きのこユニロン　細目 （KU9011H）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ きのこユニロン　細目 （KU9011H）,ヤナセ きのこユニロン　細目 （KU9011H）[rn]
20-76024,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0447.jpg?fitin=700:700,212.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ カートリッジロール　テーパー型 ＃80 （C165T）,,"6mm軸先端シリーズ<br>
超硬カッター・精密仕上げ<br>
ストレートグラインダーや電気ドリルに取り付けて使用するシリーズです。荒研磨から鏡面仕上げまで幅広い分野に使用されています。<br>
テーパー型<br>
金属細部の研磨に!<br>
用途<br>
●鉄・ステンレスの細部の研磨、バリ取り、面取り等。<br>
梱包形態：シェルパック<br>
砥材：A<br>
粒度：#80<br>
本体サイズ：16×35×6<br><br>
（メーカー）　柳瀬 株式会社（ヤナセ）",ヤナセ カートリッジロール　テーパー型 ＃80 （C165T）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ カートリッジロール　テーパー型 ＃80 （C165T）,ヤナセ カートリッジロール　テーパー型 ＃80 （C165T）[rn]
20-76025,http://tshop.r10s.jp/tuzukiya/cabinet/main/n06/n06-0129.jpg?fitin=700:700,10719.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ニシガキ 刃研ぎ名人チップソー（チップソー目立機） （N-822）,,"特徴<br>
■刈払機用チップソーの全てのサイズを研磨可能!　<br>
外径230、255、305mmのチップソーに対応しています。　<br>
■最適刃研ぎ角度に簡単設定!　<br>
傾斜角0～15度に設定可能。上刃、スクイ刃共に斜めの研磨が出来ます。　<br>
■簡単操作で簡単刃研ぎ!　<br>
手軽な操作で女性にも扱えます。",ニシガキ 刃研ぎ名人チップソー（チップソー目立機） （N-822）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドニシガキ 刃研ぎ名人チップソー（チップソー目立機） （N-822）,　。ニシガキ 刃研ぎ名人チップソー（チップソー目立機） （N-822）[rn]
20-76026,,7406.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】三養 三面砥石,,"<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br><table border=0 cellspacing=1 cellpadding=8 bgcolor=#cccccc>
<tr><td width=750 bgcolor=#F3F3F3><b><font color=666666>商品詳細</font></b></td></tr><tr><td bgcolor=#FFFFFF>
●抜群の切れ味が持続！荒・中・仕上げ片手で簡単切替！。<br>
●【用途】<br>
●刃研ぎ。<br>
●【機能・特徴途】<br>
●ステンレスや従来の炭素鋼もすべて砥ぐことができます。<br>
●荒砥石は脱着式ですので仕上砥石・中砥石の面直しもできます。<br>
●荒砥石（粒度：２５０）は、非常に食いつきの良い材料を使用しており、研削力絶大です。<br>
●中砥石（粒度：１０００）は、ステンレスも研磨できる砥石です。<br>
●仕上砥石（粒度：４０００）は、プロも使用する最高級砥石です。<br>
●【仕様】<br>
●仕上げ：粒度４０００　中研：粒度１０００　荒研：粒度２５０。<br>
●砥石寸法：１８２×５７×１５ｍｍ。<br>
●本体寸法：２５５×８５×２８ｍｍ。<br>
<br>
<br>
商品サイズ： 縦25.5cm x 横8.5cm x 高さ2.8cm </td></tr></table>",【スマホでP最大19倍！】三養 三面砥石：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】三養 三面砥石,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】三養 三面砥石[rn]
20-76027,http://tshop.r10s.jp/whatnot/cabinet/yunika/4438922.jpg?fitin=700:700,144.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】ユニカ ミニＰ ノンプラ ビス Ｆ－４２５－ＳＭＰ,,"<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br><table border=0 cellspacing=1 cellpadding=8 bgcolor=#cccccc>
<tr><td width=750 bgcolor=#F3F3F3><b><font color=666666>商品詳細</font></b></td></tr><tr><td bgcolor=#FFFFFF>
【特長】<br>
●直接コンクリートにねじ込んで使用でき、普通のドライバーで簡単に取り付けが可能です。<br>
【用途】<br>
●配管サドル留め、スイッチボックス、カーテンレール、収納棚、空調機器、照明器具、内装下地材などの各種取付け。<br>
【仕様】<br>
●引張最大荷重(kN)：1.3<br>
●下穴径(mm)：3.5<br>
●穿孔深さ(mm)：25<br>
●長さ(mm)：25<br>
●埋込深さ(mm)：20<br>
●呼径 d(mm)：4<br>
●適合ドライバー：プラスNo.2(6mm以上はNo.3)<br>
【材質/仕上】<br>
●スチール<br>
●表面処理：シルバーメッキ<br>
<br>
商品サイズ： 重量39g </td></tr></table>",【スマホでP最大19倍！】ユニカ ミニＰ ノンプラ ビス Ｆ&minus;４２５&minus;ＳＭＰ：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】ユニカ ミニＰ ノンプラ ビス Ｆ&minus;４２５&minus;ＳＭＰ,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】ユニカ ミニＰ ノンプラ ビス Ｆ&minus;４２５&minus;ＳＭＰ[rn]
20-76028,http://tshop.r10s.jp/whatnot/cabinet/yunika/4989270120334.jpg?fitin=700:700,1219.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】ユニカ 充電ビットドリル ＲＪ－７．２ ７．２ミリ,,"<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br>【特長】
●シャンクから刃先まで一体形状のため、刃先のブレやビビリがなく、適確な穿孔が可能です。

【用途】
●被削材:ブロック、モルタル、レンガ、石こうボードなど。

【仕様】
●シャンク径(mm):6.35
●全長(mm):115
●刃径(mm):7.2
●シャンク:-
●有効長(mm):65
●質量(g):31
●適合機種:充電ドリル（9.6V以上）、充電インパクトドライバー、電気ドリル（400W以下）（振動ドリルでは使用できません。）

【材質・仕上げ】
●刃部:超硬チップ

【原産国】
●ベトナム

【質量】
●31.00G",【スマホでP最大19倍！】ユニカ 充電ビットドリル ＲＪ&minus;７．２ ７．２ミリ：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】ユニカ 充電ビットドリル ＲＪ&minus;７．２ ７．２ミリ,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】ユニカ 充電ビットドリル ＲＪ&minus;７．２ ７．２ミリ[rn]
20-76029,,3984.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】ノリタケ 新スーパーリトル １５０ミリ 箱売１０枚,,"<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br>●両面補強で、抜群の切れ味・耐久性を持った切断砥石です。
●箱販売品には内径22mmから20mmへのブッシュ（1ヶ）が付属しています。
●パッケージサイズ／縦：158mm横：158mm高さ：30mm
●パッケージ重量：1046g
●用途:ステンレス、一般鋼材用
●外径:150mm
●穴径:22（20）mm
●厚み:2.5mm
●砥材:A
●粒度:30
●最高使用周速度:80M/S",【スマホでP最大19倍！】ノリタケ 新スーパーリトル １５０ミリ 箱売１０枚：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】ノリタケ 新スーパーリトル １５０ミリ 箱売１０枚,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】ノリタケ 新スーパーリトル １５０ミリ 箱売１０枚[rn]
20-76030,http://tshop.r10s.jp/whatnot/cabinet/5/45233.jpg?fitin=700:700,3584.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】黒海老ニューセラミック砥石Ｓ３０００ ＫＴ０６６,,"<br><br>
<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br><table border=0 cellspacing=1 cellpadding=8 bgcolor=#cccccc>
<tr>
<td bgcolor=#F3F3F3>
<b><font color=666666>商品詳細</font></b>
</td>
</tr>
<tr>
<td bgcolor=#FFFFFF>
<br>砥石<br>粒度：S3000<br>パッケージ寸法(約)：縦24.5cm 横7.5cm 高さ3.5cm 重さ430g</td></tr>
</table>",【スマホでP最大19倍！】黒海老ニューセラミック砥石Ｓ３０００ ＫＴ０６６：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】黒海老ニューセラミック砥石Ｓ３０００ ＫＴ０６６,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】黒海老ニューセラミック砥石Ｓ３０００ ＫＴ０６６[rn]
20-76031,,624.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【スマホでP最大19倍！】ＬＮ ジグソーブレード バイメタル ＢＴ３２４Ｓ,,"<img src=""http://image.rakuten.co.jp/whatnot/cabinet/sp/pb/revew-bar.gif"" width=""100%"">
<br><br>●金属切断Tシャンク
●山数（1インチあたり）：24T
●長さ（mm）：90
●厚さ（mm）：1
●入り数(枚）：2
●用途（切断能力）：3.2mmまでのステンレス・鉄、6mmまでの非鉄金属の切断
●メーカー品番：20303-BT324S
●バイメタルジグソー
●正確な切断。非常に鋭く、早く切断できます。
●仕上がり良好。真っ直ぐな切断ときれいな仕上がりのために精密に研磨されています。
●木工作業に。硬材を含む木材切断での最適性能目的とした設計です。
●耐破損性。バイメタルは柔軟で破損に強く、ブレードの寿命を延ばします。
●替刃
●※刃の部分のみです。工具本体は別売
●BT324S ジグソーブレード90X10X24T(2枚) 20303
●製品の仕様等は予告無く変更する場合があります。",【スマホでP最大19倍！】ＬＮ ジグソーブレード バイメタル ＢＴ３２４Ｓ：WHATNOT,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得DIYアウトドアガーデニングポイント10倍送料無料工具大掃除ドライバーくね撮り 24Rコールマンロゴスビッグマン 距離計レジャーシート寝袋インパクトレンチナンガダウンジャケット蜜蝋ワックス溶接機ヤスリ【スマホでP最大19倍！】ＬＮ ジグソーブレード バイメタル ＢＴ３２４Ｓ,4/22 10:00-4/29 9:59迄 スマホでエントリー＆購入で最大P19倍。【スマホでP最大19倍！】ＬＮ ジグソーブレード バイメタル ＢＴ３２４Ｓ[rn]
