30-10601,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2282780.jpg?fitin=700:700,2378.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●コスト重視の低価格タイプです。●傷に強いです。●遮光度の番手が大きいほど濃くなります。<br><br>【用途】<br>●アーク溶接に。<br><br>【仕様】<br>●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm<br><br>【材質／仕上】<br>●ガラス<br><br>【質量】　752G<br><br>【原産国】　ドイツ<br><br>【2017　オレンジブック掲載】　4 1994　ページ■商品コード：trs2282780　●縦(mm):50●横(mm):105●遮光度:＃11●摘要:箱入●適合機種:HS、TPW-T、TPW-K、TWHMなど●厚み:3.0mm,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC：工具箱　楽天市場店,ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　遮光ガラス　＃１１　２０枚入　GC[rn]
30-10612,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,571.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ３８ｍｍ　１０個入　TPL50SQ,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●電線接続用の銅パイプスリーブです。<br><br>【仕様】<br>●サイズ(mm):φ11.8×38●適応商品:TEH-300/TEC-300/TEC-300A<br><br>【質量】　45G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1950　ページ■商品コード：trs4026608　●サイズ(mm):φ11.8×38●適応商品:TEH-300/TEC-300/TEC-300A,ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ３８ｍｍ　１０個入　TPL50SQ：工具箱　楽天市場店,ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ３８ｍｍ　１０個入　TPL50SQ,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　銅パイプスリーブ　１１．８Ｘ３８ｍｍ　１０個入　TPL50SQ[rn]
30-10613,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs07/trs2731100.jpg?fitin=700:700,9885.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル２次線アース付き　１０ｍ　TWC2210KE,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>【仕様】<br>●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):10<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●アースクリップ（TEC-300）●ケーブルジョイント（TKJ-300オス）<br><br>【質量】　3.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs2731100　●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):10,ＴＲＵＳＣＯ　キャブタイヤケーブル２次線アース付き　１０ｍ　TWC2210KE：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル２次線アース付き　１０ｍ　TWC2210KE,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル２次線アース付き　１０ｍ　TWC2210KE[rn]
30-10614,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2561646.jpg?fitin=700:700,3856.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　溶接機用ケ－ブル　２次側　５ｍ　TWC225,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●主としてアーク溶接機の2次側接続用ケーブルとして。<br><br>【仕様】<br>●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):5●適用電流(A)100%:121●適用電流(A)80%:135●適用電流(A)50%:171●溶接機用接続ケーブル2次側●φ8丸端子付<br><br>【材質／仕上】<br>●導体部:銅線●被覆:導線用天然ゴム<br><br>【セット内容／付属品】<br>●なし<br><br>【質量】　1.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1948　ページ■商品コード：trs2561646　●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):5●適用電流(A)100%:121●適用電流(A)80%:135●適用電流(A)50%:171●溶接機用接続ケーブル2次側●φ8丸端子付,ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ　TWC225：工具箱　楽天市場店,ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ　TWC225,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　５ｍ　TWC225[rn]
30-10615,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,896.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ　TWC500,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●溶接機の二次側端子に電線を着脱することが容易に行えます。●溶接機の二次側端子のサイズに左右されることなくボルトで取り付け可能です。<br><br>【仕様】<br>●使用電線(mm[[の2乗]]):-●溶接電流(A):400～500●全長(mm):85●接続用途:ケーブル+溶接機●TKJ-300のオス側と接続可能●電線接続:-●接続用途:ケーブル+溶接機<br><br>【質量】　170G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1949　ページ■商品コード：trs2562146　●使用電線(mm[[の2乗]]):-●溶接電流(A):400～500●全長(mm):85●接続用途:ケーブル+溶接機●TKJ-300のオス側と接続可能●電線接続:-●接続用途:ケーブル+溶接機,ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ　TWC500：工具箱　楽天市場店,ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ　TWC500,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ウェルダーキャッチ　５００Ａ　TWC500[rn]
30-10616,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,435.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ２６ｍｍ　１０個入　TPS38SQ,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●電線接続用の銅パイプスリーブです。<br><br>【仕様】<br>●サイズ(mm):φ11×26●適応商品:TKJ-300<br><br>【質量】　32G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1950　ページ■商品コード：trs4026632　●サイズ(mm):φ11×26●適応商品:TKJ-300,ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ２６ｍｍ　１０個入　TPS38SQ：工具箱　楽天市場店,ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ２６ｍｍ　１０個入　TPS38SQ,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　銅パイプスリーブ　１１Ｘ２６ｍｍ　１０個入　TPS38SQ[rn]
30-10617,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2562138.jpg?fitin=700:700,716.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ウェルダーキャッチ　３００Ａ　TWC300,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●溶接機の二次側端子に電線を着脱することが容易に行えます。●溶接機の二次側端子のサイズに左右されることなくボルトで取り付け可能です。<br><br>【仕様】<br>●使用電線(mm[[の2乗]]):-●溶接電流(A):100～300●全長(mm):85●接続用途:ケーブル+溶接機●TKJ-300のオス側と接続可能●電線接続:-●接続用途:ケーブル+溶接機<br><br>【質量】　125G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1949　ページ■商品コード：trs2562138　●使用電線(mm[[の2乗]]):-●溶接電流(A):100～300●全長(mm):85●接続用途:ケーブル+溶接機●TKJ-300のオス側と接続可能●電線接続:-●接続用途:ケーブル+溶接機,ＴＲＵＳＣＯ　ウェルダーキャッチ　３００Ａ　TWC300：工具箱　楽天市場店,ＴＲＵＳＣＯ　ウェルダーキャッチ　３００Ａ　TWC300,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ウェルダーキャッチ　３００Ａ　TWC300[rn]
30-10618,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs10/trs3104788.jpg?fitin=700:700,900.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　差し込み金具　HWSK,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●溶接機と二次側ケーブルの接続が容易にできます。<br><br>【用途】<br>●ケーブルの接続金具として。<br><br>【仕様】<br>●使用電線(mm[[の2乗]]):22●溶接電流(A):100●全長(mm):135●接続用途:ケーブル+溶接機<br><br>【セット内容／付属品】<br>●六角棒レンチ●接続用銅パイプ<br><br><font color=red>【注意】<br>●溶接機のメス側端子に直接取り付けるタイプです。●ケーブルジョイントTKJ-300とは接続できません。</font><br><br>【質量】　90G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1950　ページ■商品コード：trs3104788　●使用電線(mm[[の2乗]]):22●溶接電流(A):100●全長(mm):135●接続用途:ケーブル+溶接機,ＴＲＵＳＣＯ　差し込み金具　HWSK：工具箱　楽天市場店,ＴＲＵＳＣＯ　差し込み金具　HWSK,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　差し込み金具　HWSK[rn]
30-10619,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3265951.jpg?fitin=700:700,9079.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　１０ｍ　TCT2210KE,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。<br><br>【用途】<br>●アーク溶接機の2次ケーブル（アース用）として。<br><br>【仕様】<br>●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):10<br><br>【材質／仕上】<br>●導線用天然ゴム・導体<br><br>【セット内容／付属品】<br>●アースクリップ（TEC-300）●φ8丸端子（絶縁キャップ）<br><br>【質量】　3.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1947　ページ■商品コード：trs3265951　●適用電流(A):100～170●使用電線(mm[[の2乗]]):WCT-22●ケーブル(m):10,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　１０ｍ　TCT2210KE：工具箱　楽天市場店,ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　１０ｍ　TCT2210KE,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　キャブタイヤケーブル　アースクリップ丸端子付　１０ｍ　TCT2210KE[rn]
30-10620,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,670.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23210,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。<br><br>【用途】<br>●鉄の薄板から厚板の溶接に。（多層盛りを行うことで厚板も溶接可能）●軟鋼を用いる車両、軽量鉄骨、建築などの一般構造物の溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～10●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):26●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能。</font><br><br>【質量】　1000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561964　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～10●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):26●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23210：工具箱　楽天市場店,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23210,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23210[rn]
30-10621,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,1392.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス異材用溶接棒３．２ｍｍ　棒長３５０ｍｍ　TSS309325,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●22%Cr-12%Niステンレス鋼（SUS309Sなど）の溶接およびステンレス鋼と炭素鋼または低合金鋼との異材溶接に。●SUS304クラッド鋼の合わせ材側の下盛溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～8●電流範囲(A)下向:70～120●電流範囲(A)立向上進・上向:65～105●目安入数(本):11●JIS Z3221 ES309-16規格品●棒端色:黒色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2723450　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～8●電流範囲(A)下向:70～120●電流範囲(A)立向上進・上向:65～105●目安入数(本):11●JIS Z3221 ES309-16規格品●棒端色:黒色,ＴＲＵＳＣＯ　ステンレス異材用溶接棒３．２ｍｍ　棒長３５０ｍｍ　TSS309325：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス異材用溶接棒３．２ｍｍ　棒長３５０ｍｍ　TSS309325,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス異材用溶接棒３．２ｍｍ　棒長３５０ｍｍ　TSS309325[rn]
30-10622,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,430.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10142,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。●溶け込みが浅く、光沢のある美しいビードが得られます。<br><br>【用途】<br>●薄板の溶接に。<br><br>【仕様】<br>●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:20～45●電流範囲(A)立向上進・上向:20～45●目安入数(本):37●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能ですが、下向と水平すみ肉で良好な作業性を有する。</font><br><br>【質量】　200G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561786　●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:20～45●電流範囲(A)立向上進・上向:20～45●目安入数(本):37●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10142：工具箱　楽天市場店,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10142,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TST10142[rn]
30-10623,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,759.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TST103210,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●下向および水平すみ肉溶接において特に良好な作業性を有する高酸化チタン系溶接棒で、アークは安定し、スパッタも少なく、スラグのはく離性が良好です。●低電圧溶接機用溶接棒なので家庭用100V電源で使用できます。線径2.6mm以上の溶接棒は200V電源を推奨します。●溶け込みが浅く、光沢のある美しいビードが得られます。<br><br>【用途】<br>●薄板の溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5.0～10.0●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):26●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能ですが、下向と水平すみ肉で良好な作業性を有する。</font><br><br>【質量】　1000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561883　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5.0～10.0●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):26●JIS Z3211 E4313規格品（高酸化チタン系溶接棒）（※TST10-142、TST10-145は除く）●棒端色:白色,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TST103210：工具箱　楽天市場店,ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TST103210,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　軟鋼低電圧用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TST103210[rn]
30-10624,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs06/trs2562006.jpg?fitin=700:700,1202.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSS308205,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●18%Cr-8%Niステンレス鋼（SUS304とSUS304）の溶接に。<br><br>【仕様】<br>●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:45～65●電流範囲(A)立向上進・上向:40～60●目安入数(本):44●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　500G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2562006　●心線径(mm):φ2.0●棒長(mm):250●適用板厚(mm):3.0～5.0●電流範囲(A)下向:45～65●電流範囲(A)立向上進・上向:40～60●目安入数(本):44●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSS308205：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSS308205,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径２．０ｍｍ　棒長２５０ｍｍ　TSS308205[rn]
30-10625,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,1149.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSR21610,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。<br><br>【用途】<br>●鉄の薄板から厚板の溶接に。（多層盛りを行うことで厚板も溶接可能）●軟鋼を用いる車両、軽量鉄骨、建築などの一般構造物の溶接に。<br><br>【仕様】<br>●心線径(mm):φ1.6●棒長(mm):250●適用板厚(mm):2～4●電流範囲(A)下向:20～50●電流範囲(A)立向上進・上向:20～50●目安入数(本):155●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能。</font><br><br>【質量】　1000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561905　●心線径(mm):φ1.6●棒長(mm):250●適用板厚(mm):2～4●電流範囲(A)下向:20～50●電流範囲(A)立向上進・上向:20～50●目安入数(本):155●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSR21610：工具箱　楽天市場店,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSR21610,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径１．６ｍｍ　棒長２５０ｍｍ　TSR21610[rn]
30-10626,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,2052.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23250,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●被覆剤中に約30%の鉄粉を含有したライムチタニヤ系溶接棒で、再アーク性に優れ、ビード伸びも良く、断続溶接、すみ肉溶接、タック溶接（仮付け）など全姿勢で溶接できます。<br><br>【用途】<br>●鉄の薄板から厚板の溶接に。（多層盛りを行うことで厚板も溶接可能）●軟鋼を用いる車両、軽量鉄骨、建築などの一般構造物の溶接に。<br><br>【仕様】<br>●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～10●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):140●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色<br><br><font color=red>【注意】<br>●過電流での使用はスパッタ（溶滴の飛び散り）が発生するなど作業性悪化の原因となりますので適正電流範囲を守ってください。●過度に吸湿すると溶接作業性悪化やピット（溶接部に孔があく）が発生することがありますので溶接棒はパッケージに戻して密封してください。●全姿勢で溶接可能。</font><br><br>【質量】　5000G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1945　ページ■商品コード：trs2561972　●心線径(mm):φ3.2●棒長(mm):350●適用板厚(mm):5～10●電流範囲(A)下向:80～130●電流範囲(A)立向上進・上向:70～120●目安入数(本):140●JIS Z3211 E4303規格品（ライムチタニヤ系溶接棒）●棒端色:赤色,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23250：工具箱　楽天市場店,ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23250,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　一般軟鋼用溶接棒　心線径３．２ｍｍ　棒長３５０ｍｍ　TSR23250[rn]
30-10627,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,728.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TSS308142,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●スラグはく離性、アーク安定性が良好で、スパッタも少なく、ビード外観も優れています。●ステンレス用溶接棒の欠点である棒焼け性についても良好です。<br><br>【用途】<br>●18%Cr-8%Niステンレス鋼（SUS304とSUS304）の溶接に。<br><br>【仕様】<br>●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:10～30●電流範囲(A)立向上進・上向:10～30●目安入数(本):30●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色<br><br><font color=red>【注意】<br>●全姿勢で溶接可能。</font><br><br>【質量】　200G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 1946　ページ■商品コード：trs2561981　●心線径(mm):φ1.4●棒長(mm):250●適用板厚(mm):1.2～3.0●電流範囲(A)下向:10～30●電流範囲(A)立向上進・上向:10～30●目安入数(本):30●JIS Z3221 ES308-16規格品（※TSS308-142は除く）●棒端色:黄色,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TSS308142：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TSS308142,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス用溶接棒　心線径１．４ｍｍ　棒長２５０ｍｍ　TSS308142[rn]
