30-10901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,15560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●ハンドチェーンと減速歯車を介して、より小さな人力で横行可能です。<br><br>【仕様】<br>●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用<br><br><font color=red>【注意】<br>●手動チェンブロック(H-50A形)の上フックを掛けてご使用ください。●手動チェンブロック(H-50A形)と直結する場合はご相談ください。●電気チェンブロックにはご使用できません。</font>●電気チェンブロックにご使用の場合はご相談ください。</font><br><br>【質量】　12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ≪メーカー在庫品≫■商品コード：trs4576080　●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用,ニッチ　ギヤードトロリ　１．０ｔ　GT5010：工具箱　楽天市場店,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載。ニッチ　ギヤードトロリ　１．０ｔ　GT5010[rn]
30-10928,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,81452.8000,,花・ガーデン・DIY > DIY・工具 > その他,象印　三相２００Ｖ小型電気チェーンブロック４９０ＫＧ　ACK4930　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【特長】<br>●小型軽量ながら強力なパワー（0.55kW）本格的なタイプです。●メカニカルブレーキ・モーターブレーキのダブルブレーキと過巻防止装置付の安全対策をしています。●ロードチェーンは特殊強力チェーンでサビ対策も万全です。●過負荷防止機能付です。●作業条件に合わせた豊富なアクセサリー群があります。<br><br>【仕様】<br>●定格荷重(t):0.49●標準揚程(m):3●フック間最小距離(mm):395●時間定格(min):30●巻上速度(m/min)50Hz:4.5●巻上速度(m/min)60Hz:5.5●モータ出力(kW):0.55●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●揚程増価格(メーカー希望小売価格)ロードチェン(1m):\4000●揚程増価格(メーカー希望小売価格)押釦コード(1m):\1700<br><br>【材質／仕上】<br>●ロードチェーン:特殊合金鋼<br><br>【質量】　21.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2769　ページ≪メーカー在庫品≫■商品コード：trs2422131　●定格荷重(t):0.49●標準揚程(m):3●フック間最小距離(mm):395●時間定格(min):30●巻上速度(m/min)50Hz:4.5●巻上速度(m/min)60Hz:5.5●モータ出力(kW):0.55●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●揚程増価格(メーカー希望小売価格)ロードチェン(1m):\4000●揚程増価格(メーカー希望小売価格)押釦コード(1m):\1700,象印　三相２００Ｖ小型電気チェーンブロック４９０ＫＧ　ACK4930　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,象印　三相２００Ｖ小型電気チェーンブロック４９０ＫＧ　ACK4930　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。象印　三相２００Ｖ小型電気チェーンブロック４９０ＫＧ　ACK4930　 【代引き不可・配送時間指定不可】[rn]
30-10929,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,114909.6000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　手押横行式電気チェンブロック　１．０ｔ　ECP40100　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●機密性に優れたIP54の全閉構造です。●安定したブレーキ制動力と、長寿命のブレーキソレノイドによる信頼のブレーキ機構です。●過巻・過戻防止装置を標準装備しています。●強力ロードチェンを使用しています。●振れの少ない安定した運転姿勢です。●ケーブルの接続はコンセント化により簡単です。●全機種にヘリカルギアを採用し静かでスムーズな運転です。●標準揚程以上の長い揚程も製作可能です。<br><br>【仕様】<br>●定格荷重(t):1.00●標準揚程(m):3●フック間最小距離(mm):550●時間定格(min):30●巻上速度(m/min)50Hz:5.6●巻上速度(m/min)60Hz:6.6●適用横行レール幅(mm):(75-100-125)※定格荷重2tタイプのみ(100-125-150)●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●トロリー:手動走行式●ロードチェーン:強力ロードチェーン（1本）●モータ出力(kW)50Hz:1.1●モータ出力(kW)60Hz:1.3<br><br>【材質／仕上】<br>●ロードチェーン:特殊合金鋼<br><br>【質量】　55KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2772　ページ≪メーカー直送品≫■商品コード：trs4576063　●定格荷重(t):1.00●標準揚程(m):3●フック間最小距離(mm):550●時間定格(min):30●巻上速度(m/min)50Hz:5.6●巻上速度(m/min)60Hz:6.6●適用横行レール幅(mm):(75-100-125)※定格荷重2tタイプのみ(100-125-150)●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●トロリー:手動走行式●ロードチェーン:強力ロードチェーン（1本）●モータ出力(kW)50Hz:1.1●モータ出力(kW)60Hz:1.3,ニッチ　手押横行式電気チェンブロック　１．０ｔ　ECP40100　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ニッチ　手押横行式電気チェンブロック　１．０ｔ　ECP40100　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ニッチ　手押横行式電気チェンブロック　１．０ｔ　ECP40100　【代引き不可・配送時間指定不可】[rn]
30-10930,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897129.jpg?fitin=700:700,76.0000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　オレンジキャップ　AR005,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●軟質タイプなのでフィットしやすいオレンジ色のキャップです。<br><br>【用途】<br>●単管の先端保護。<br><br>【仕様】<br>●適用パイプ径(mm):48.6●色:オレンジ<br><br>【材質／仕上】<br>●塩化ビニール<br><br>【質量】　19G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2747　ページ■商品コード：trs4897129　●適用パイプ径(mm):48.6●色:オレンジ,アラオ　オレンジキャップ　AR005：工具箱　楽天市場店,アラオ　オレンジキャップ　AR005,【業務用】 オレンジブック2017掲載。アラオ　オレンジキャップ　AR005[rn]
30-10931,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs09/trs2965437.jpg?fitin=700:700,241.6000,,花・ガーデン・DIY > DIY・工具 > その他,大洋　単管クランプ　同径型（直交）　DK,【業務用】 オレンジブック2017掲載,<b>メーカー／大洋製器工業（株）</b><br><br>【特長】<br>●支柱と単管をつなぐためのクランプです。<br><br>【仕様】<br>●適用パイプ径(mm):48.6●タイプ:直交型●（社）仮設工業会認定品<br><br>【質量】　700G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2746　ページ■商品コード：trs2965437　●適用パイプ径(mm):48.6●タイプ:直交型●（社）仮設工業会認定品,大洋　単管クランプ　同径型（直交）　DK：工具箱　楽天市場店,大洋　単管クランプ　同径型（直交）　DK,【業務用】 オレンジブック2017掲載。大洋　単管クランプ　同径型（直交）　DK[rn]
30-10932,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs43/trs7697872.jpg?fitin=700:700,39904.8000,,花・ガーデン・DIY > DIY・工具 > その他,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１０６用　CSBT41AL【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／アルインコ（株）住宅機器事業部</b><br><br>【特長】<br>●アルミ製作業台ＣＳＢＣ用フルセット手すりです。<br><br>【用途】<br>●転落防止に最適です。<br><br>【仕様】<br>●タイプ:フルセット●手すり高さ(mm):９００/１１００●適合本体:ＣＳＢＣ４１０６Ｓ●手すり高さ900・1100mm兼用　●組立式●支柱３２ｍｍ●幅木高さ１０３ｍｍ<br><br>【材質／仕上】<br>●アルミ<br><br><font color=red>【注意】<br>●作業台は別売です。</font><br><br>【質量】　9.2KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　4 2709　ページ≪メーカー在庫品≫■商品コード：trs7697872　●タイプ:フルセット●手すり高さ(mm):９００/１１００●適合本体:ＣＳＢＣ４１０６Ｓ●手すり高さ900・1100mm兼用　●組立式●支柱３２ｍｍ●幅木高さ１０３ｍｍ,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１０６用　CSBT41AL【代引き不可・配送時間指定不可】：工具箱　楽天市場店,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１０６用　CSBT41AL【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。アルインコ　作業台フルセット手すり　ＣＳＢＣ４１０６用　CSBT41AL【代引き不可・配送時間指定不可】[rn]
30-10933,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3274659.jpg?fitin=700:700,4769.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　防雨型コードリール　サンデーレインボーリール　単相１００Ｖ　３０ｍ　SS30,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●Wコンセントを2列並列に一体モールド形成です。内部配電部への水の侵入を防ぎます。●防雨型4ッ口コンセント付です。<br><br>【用途】<br>●屋外でのあらゆる作業に。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):1.25●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:-●2P・3P兼用プラグ:-●止水能力(A):ポリ管・塩ビ管13～30●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし<br><br>【質量】　5.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2432　ページ■商品コード：trs3274659　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):1.25●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:-●2P・3P兼用プラグ:-●止水能力(A):ポリ管・塩ビ管13～30●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし,ハタヤ　防雨型コードリール　サンデーレインボーリール　単相１００Ｖ　３０ｍ　SS30：工具箱　楽天市場店,ハタヤ　防雨型コードリール　サンデーレインボーリール　単相１００Ｖ　３０ｍ　SS30,【業務用】 オレンジブック2017掲載。ハタヤ　防雨型コードリール　サンデーレインボーリール　単相１００Ｖ　３０ｍ　SS30[rn]
30-10934,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3704297.jpg?fitin=700:700,14021.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　防雨型　レインボーリール　単相１００Ｖ接地付　３０ｍ　SBE30KC,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●防雨型構造なので、雨降りでも使用可能です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●ブレーカー付●防雨型コンセントキャップ<br><br>【質量】　7.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2433　ページ■商品コード：trs3704297　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●ブレーカー付●防雨型コンセントキャップ,ハタヤ　防雨型　レインボーリール　単相１００Ｖ接地付　３０ｍ　SBE30KC：工具箱　楽天市場店,ハタヤ　防雨型　レインボーリール　単相１００Ｖ接地付　３０ｍ　SBE30KC,【業務用】 オレンジブック2017掲載。ハタヤ　防雨型　レインボーリール　単相１００Ｖ接地付　３０ｍ　SBE30KC[rn]
30-10935,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,18123.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動　日動　防雨型電工ドラム　ＬＥＤラインドラム　緑　NPWLEB33G,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●側板にLEDを付けた電工ドラムです。●暗くても目立つので踏んでしまったり、ぶつかるなどの危険を回避します。●ドラムに繋いだ電源で点灯します。<br><br>【用途】<br>●簡易・仮設照明。●各種屋外工事。●屋外作業の電源コード。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:緑●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ<br><br>【質量】　7.7<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2435　ページ■商品コード：trs4866169　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:緑●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ,日動　日動　防雨型電工ドラム　ＬＥＤラインドラム　緑　NPWLEB33G：工具箱　楽天市場店,日動　日動　防雨型電工ドラム　ＬＥＤラインドラム　緑　NPWLEB33G,【業務用】 オレンジブック2017掲載。日動　日動　防雨型電工ドラム　ＬＥＤラインドラム　緑　NPWLEB33G[rn]
30-10936,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs03/trs1645081.jpg?fitin=700:700,10492.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　屋外用レインボーリール　単相１００Ｖアース付　３０ｍ　GE30K,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●コンセント盤配電部を一体モールド成型することで完全な防水処理が可能です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●防雨型コンセントキャップ●アース付●ブレーカーなし<br><br>【質量】　7.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2432　ページ■商品コード：trs1645081　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●防雨型コンセントキャップ●アース付●ブレーカーなし,ハタヤ　屋外用レインボーリール　単相１００Ｖアース付　３０ｍ　GE30K：工具箱　楽天市場店,ハタヤ　屋外用レインボーリール　単相１００Ｖアース付　３０ｍ　GE30K,【業務用】 オレンジブック2017掲載。ハタヤ　屋外用レインボーリール　単相１００Ｖアース付　３０ｍ　GE30K[rn]
30-10937,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,19076.8000,,花・ガーデン・DIY > DIY・工具 > その他,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEK33O,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●側板にLEDを付けた電工ドラムです。●暗くても目立つので踏んでしまったり、ぶつかるなどの危険を回避します。●ドラムに繋いだ電源で点灯します。<br><br>【用途】<br>●簡易・仮設照明。●各種屋外工事。●屋外作業の電源コード。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:オレンジ●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ<br><br>【質量】　7.7<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2435　ページ■商品コード：trs4866215　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:オレンジ●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEK33O：工具箱　楽天市場店,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEK33O,【業務用】 オレンジブック2017掲載。日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEK33O[rn]
30-10938,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs35/trs4866177.jpg?fitin=700:700,18123.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEB33O,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●側板にLEDを付けた電工ドラムです。●暗くても目立つので踏んでしまったり、ぶつかるなどの危険を回避します。●ドラムに繋いだ電源で点灯します。<br><br>【用途】<br>●簡易・仮設照明。●各種屋外工事。●屋外作業の電源コード。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:オレンジ●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ<br><br>【質量】　7.7<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2435　ページ■商品コード：trs4866177　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●通電ランプ:○●2P・3P兼用プラグ:○●発光色:オレンジ●サイズ(mm):W260×D220×H341●コンセント数:3●重量(kg):7.7●AC100V●電線種:VCT●屋外型●ブレーカー付●ドラムストッパー付●防雨型コンセントキャップ,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEB33O：工具箱　楽天市場店,日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEB33O,【業務用】 オレンジブック2017掲載。日動　防雨型電工ドラム　ＬＥＤラインドラム　オレンジ　NPWLEB33O[rn]
30-10939,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3686523.jpg?fitin=700:700,26946.4000,,花・ガーデン・DIY > DIY・工具 > その他,日動　防雨型漏電遮断器付電工ドラム　NWEB53,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●雨や水の多い場所でも安心して使用できます。●アース付なので安全です。<br><br>【用途】<br>●各種屋外工事に。●屋外照明などの電源コードに。<br><br>【仕様】<br>●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):4●コンセント仕様定格:キャップ付2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:自動復帰型●通電ランプ:○●2P・3P兼用プラグ:○●過負荷保護:-●漏電保護:○●AC100V●電線種:VCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●限度電流:15A●防雨型コンセントキャップ●電線色:黒●側板直径(φ):290●側板色:エメラルドグリーン●電線材質:VCT<br><br><font color=red>【注意】<br>●屋外使用の際、接続する機器側のプラグも規定の防水プラグを使用して下さい。（形状が合わない場合、防雨・防塵になりません）</font><br><br>【質量】　11.8<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2435　ページ■商品コード：trs3686523　●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):4●コンセント仕様定格:キャップ付2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:自動復帰型●通電ランプ:○●2P・3P兼用プラグ:○●過負荷保護:-●漏電保護:○●AC100V●電線種:VCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●限度電流:15A●防雨型コンセントキャップ●電線色:黒●側板直径(φ):290●側板色:エメラルドグリーン●電線材質:VCT,日動　防雨型漏電遮断器付電工ドラム　NWEB53：工具箱　楽天市場店,日動　防雨型漏電遮断器付電工ドラム　NWEB53,【業務用】 オレンジブック2017掲載。日動　防雨型漏電遮断器付電工ドラム　NWEB53[rn]
30-10940,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs02/trs1255860.jpg?fitin=700:700,16454.4000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　防雨防塵型１００Ｖドラム　アース付　３０ｍ　NWE33,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●雨や水の多い場所でも安心して使用できます。●防雨・防じん構造のため、屋外作業に最適です。<br><br>【用途】<br>●湿気や水のかかる場所。●屋外現場。●屋外用看板。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:キャップ付2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:自動復帰型●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●限度電流:15A●防雨型コンセントキャップ●プラグ形状:ポッキンプラグ●電源ランプ●アース付<br><br><font color=red>【注意】<br>●屋外使用の際、接続する機器側のプラグも規定の防水プラグを使用して下さい。（形状が合わない場合、防雨・防塵になりません）</font><br><br>【質量】　8.2<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2433　ページ■商品コード：trs1255860　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:キャップ付2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:自動復帰型●通電ランプ:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●限度電流:15A●防雨型コンセントキャップ●プラグ形状:ポッキンプラグ●電源ランプ●アース付,日動　電工ドラム　防雨防塵型１００Ｖドラム　アース付　３０ｍ　NWE33：工具箱　楽天市場店,日動　電工ドラム　防雨防塵型１００Ｖドラム　アース付　３０ｍ　NWE33,【業務用】 オレンジブック2017掲載。日動　電工ドラム　防雨防塵型１００Ｖドラム　アース付　３０ｍ　NWE33[rn]
30-10941,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs03/trs1645064.jpg?fitin=700:700,7829.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　CE30,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●コンセント盤配電部を一体モールド成型することで完全な防水処理が可能です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):1.25●電線仕様芯数(C):2●定格電流(A):4●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:-●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし●梱包数(台):3<br><br>【質量】　5.9KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2432　ページ■商品コード：trs1645064　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):1.25●電線仕様芯数(C):2●定格電流(A):4●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:-●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし●梱包数(台):3,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　CE30：工具箱　楽天市場店,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　CE30,【業務用】 オレンジブック2017掲載。ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　CE30[rn]
30-10942,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs03/trs1645072.jpg?fitin=700:700,8775.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　GE30,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●コンセント盤配電部を一体モールド成型することで完全な防水処理が可能です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.00●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:-●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし●梱包数(台):3<br><br>【質量】　6.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2432　ページ■商品コード：trs1645072　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.00●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[ニ芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●2P・3P兼用プラグ:-●AC100V●電線種:VCT●防雨型コンセントキャップ●アースなし●ブレーカーなし●梱包数(台):3,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　GE30：工具箱　楽天市場店,ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　GE30,【業務用】 オレンジブック2017掲載。ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ　GE30[rn]
